business_id,sc_points_red,sc_rewards_count
BZID-1304463200,16500.0,1
BZID-1304439009,550.0,1
BZID-1304431488,4500.0,1
BZID-1304460051,3500.0,1
BZID-1304463698,42000.0,1
BZID-1304475476,8000.0,1
BZID-1304465647,3800.0,1
BZID-1304467488,1200.0,1
BZID-1304446993,2250.0,1
BZID-1304469245,3800.0,1
BZID-1304451279,550.0,1
BZID-1304472088,9000.0,1
BZID-1304460656,1200.0,1
BZID-1304480235,1200.0,1
BZID-1304458448,4500.0,1
BZID-1304478227,1200.0,1
BZID-1304434579,1300.0,1
BZID-1304464351,2100.0,1
BZID-1304463399,550.0,1
BZID-1304465533,7900.0,2
BZID-1304464453,7500.0,1
BZID-1304467649,1200.0,1
BZID-1304469391,3800.0,1
BZID-1304476111,550.0,1
BZID-1304463744,1300.0,1
BZID-1304468627,9000.0,1
BZID-1304474805,4500.0,1
BZID-1304474946,1300.0,1
BZID-1304432709,4500.0,1
BZID-1304458787,1850.0,2
BZID-1304442817,1300.0,1
BZID-1304458589,5000.0,1
BZID-1304476941,1200.0,1
BZID-1304460421,9000.0,1
BZID-1304460997,1200.0,1
BZID-1304466666,10500.0,1
BZID-1304467174,9000.0,1
BZID-1304476837,2100.0,1
BZID-1304428768,2250.0,1
BZID-1304449762,1200.0,1
BZID-1304456802,2100.0,1
BZID-1304476098,1300.0,1
BZID-1304475442,2100.0,1
BZID-1304431889,3800.0,1
BZID-1304457099,550.0,1
BZID-1304471615,1200.0,1
BZID-1304466201,17000.0,1
BZID-1304428647,1300.0,1
BZID-1304464974,10500.0,1
BZID-1304473185,10500.0,1
BZID-1304473367,4500.0,1
BZID-1304474922,37500.0,2
BZID-1304446409,1300.0,1
BZID-1304460245,16000.0,1
BZID-1304442982,1200.0,1
BZID-1304475216,32500.0,1
BZID-1304460384,550.0,1
BZID-1304449456,1300.0,1
BZID-1304432689,16500.0,1
BZID-1304436360,550.0,1
BZID-1304466336,2100.0,1
BZID-1304463607,1200.0,1
