businessid,cta_dt_cnt,ppv_plv_dt_cnt,atc_dt_cnt
BZID-1304447903,37,23,20
BZID-1304429660,43,27,17
BZID-1304368556,42,34,22
BZID-1304469159,57,54,50
BZID-1304466818,59,59,29
BZID-1304448875,44,40,21
BZID-1304478015,16,8,7
BZID-1304459661,31,24,20
BZID-1304386938,55,53,49
BZID-1304377431,22,18,8
BZID-1304435203,57,55,31
BZID-1304473635,57,52,52
BZID-1304461545,43,31,24
BZID-1304409737,55,51,43
BZID-1304418758,39,35,21
BZID-1304464856,59,56,48
BZID-1304449807,57,41,19
BZID-1304407921,44,34,26
BZID-1304471822,46,37,31
BZID-1304479382,55,51,34
BZID-1304413235,50,45,21
BZID-1304415455,57,44,36
BZID-1304398440,53,45,31
BZID-1304458509,53,52,43
BZID-1304436107,10,8,6
BZID-1304404988,21,19,7
BZID-1304364698,27,23,8
BZID-1304475728,47,37,25
BZID-1304357852,55,55,29
BZID-1304463881,26,22,13
BZID-1304359816,56,55,44
BZID-1304367835,17,15,8
BZID-1304475090,49,34,30
BZID-1304401776,59,59,53
BZID-1304393955,36,32,1
BZID-1304409185,51,47,24
BZID-1304402113,31,27,11
BZID-1304437832,42,29,11
BZID-1304449070,14,13,7
BZID-1304472854,41,36,26
BZID-1304470736,59,59,24
BZID-1304413254,43,40,29
BZID-1304458605,44,40,28
BZID-1304409136,20,17,8
BZID-1304471989,59,58,53
BZID-1304422292,57,50,35
BZID-1304413150,4,3,3
BZID-1304448025,45,35,29
BZID-1304438831,39,31,10
BZID-1304424979,46,29,17
BZID-1304423729,57,50,42
BZID-1304470921,55,48,34
BZID-1304381177,51,48,39
BZID-1304431925,25,21,10
BZID-1304418123,56,53,26
BZID-1304429415,27,21,18
BZID-1304388956,25,12,7
BZID-1304449287,21,11,5
BZID-1304400146,46,40,21
BZID-1304358339,18,16,7
BZID-1304399476,52,50,23
BZID-1304419068,30,22,15
BZID-1304407764,30,16,11
BZID-1304450774,41,40,33
BZID-1304375716,53,45,22
BZID-1304432590,15,12,6
BZID-1304429871,54,52,34
BZID-1304381813,50,39,17
BZID-1304427118,47,39,29
BZID-1304431218,50,28,18
BZID-1304447386,49,41,14
BZID-1304409796,31,27,6
BZID-1304447183,57,57,50
BZID-1304386002,13,12,2
BZID-1304366711,7,7,2
BZID-1304473824,52,50,37
BZID-1304386694,3,3,0
BZID-1304451666,58,55,37
BZID-1304382556,58,55,39
BZID-1304377797,43,38,16
BZID-1304479714,14,3,3
BZID-1304446426,59,47,33
BZID-1304360936,53,52,26
BZID-1304426764,51,42,25
BZID-1304464975,46,34,20
BZID-1304371236,39,38,18
BZID-1304433294,7,7,1
BZID-1304361649,4,2,1
BZID-1304407364,27,24,8
BZID-1304406564,38,33,8
BZID-1304438797,59,54,37
BZID-1304370657,5,2,0
BZID-1304428625,57,50,37
BZID-1304470508,49,34,32
BZID-1304465527,27,25,7
BZID-1304408407,39,33,12
BZID-1304362321,10,9,5
BZID-1304415369,18,10,8
BZID-1304480015,58,57,47
BZID-1304415744,10,10,0
BZID-1304425207,37,28,14
BZID-1304360394,51,34,22
BZID-1304396032,42,40,18
BZID-1304420418,51,52,32
BZID-1304401157,31,30,16
BZID-1304461934,59,59,27
BZID-1304362267,17,15,3
BZID-1304389836,29,15,7
BZID-1304365908,49,49,31
BZID-1304480012,49,46,41
BZID-1304402920,46,44,23
BZID-1304370687,14,11,6
BZID-1304379041,27,23,11
BZID-1304362294,19,16,9
BZID-1304377105,11,8,0
BZID-1304435934,54,49,33
BZID-1304410050,16,11,6
BZID-1304361339,33,30,14
BZID-1304372495,54,51,31
BZID-1304398394,28,20,6
BZID-1304460056,57,49,40
BZID-1304399830,37,28,26
BZID-1304476730,48,44,18
BZID-1304358202,29,28,6
BZID-1304438457,47,30,21
BZID-1304361927,2,1,0
BZID-1304390692,23,17,15
BZID-1304421243,16,14,11
BZID-1304418899,50,47,41
BZID-1304421439,4,3,0
BZID-1304479546,23,15,6
BZID-1304428335,29,27,12
BZID-1304361652,13,11,4
BZID-1304395554,4,3,4
BZID-1304471691,43,31,24
BZID-1304438548,53,49,28
BZID-1304389679,14,14,2
BZID-1304472055,58,58,56
BZID-1304362393,9,6,5
BZID-1304408507,17,12,8
BZID-1304384154,19,14,7
BZID-1304357854,53,53,7
BZID-1304450434,14,11,3
BZID-1304427647,56,51,36
BZID-1304371309,47,43,30
BZID-1304362414,20,16,1
BZID-1304371388,7,7,1
BZID-1304362997,42,38,21
BZID-1304385795,57,56,21
BZID-1304424309,53,52,25
BZID-1304455973,7,6,5
BZID-1304369926,34,31,13
BZID-1304361184,16,5,1
BZID-1304475148,58,56,50
BZID-1304474407,52,42,22
BZID-1304461767,49,44,38
BZID-1304476979,59,55,28
BZID-1304393103,8,7,0
BZID-1304362049,35,29,10
BZID-1304410910,44,34,22
BZID-1304362079,48,45,40
BZID-1304376107,49,49,11
BZID-1304478598,57,53,41
BZID-1304449623,40,35,11
BZID-1304470823,59,58,55
BZID-1304440516,12,11,4
BZID-1304361586,28,25,11
BZID-1304431158,59,56,44
BZID-1304358201,22,19,2
BZID-1304475494,25,18,14
BZID-1304377060,48,35,22
BZID-1304423938,57,57,53
BZID-1304408370,21,20,1
BZID-1304477623,46,41,32
BZID-1304362100,17,13,4
BZID-1304435062,11,11,4
BZID-1304429062,35,23,8
BZID-1304478603,59,57,42
BZID-1304396314,8,8,3
BZID-1304408207,39,23,14
BZID-1304384764,29,27,11
BZID-1304366415,52,43,21
BZID-1304393307,51,48,21
BZID-1304372774,52,51,23
BZID-1304371965,39,30,14
BZID-1304420133,32,28,6
BZID-1304433896,37,31,21
BZID-1304450138,57,55,43
BZID-1304425162,51,45,12
BZID-1304469924,44,40,33
BZID-1304363434,8,7,2
BZID-1304393067,26,19,11
BZID-1304415900,12,7,2
BZID-1304412878,26,22,7
BZID-1304389924,32,28,16
BZID-1304466360,35,23,10
BZID-1304452903,57,57,42
BZID-1304396553,17,16,12
BZID-1304361809,4,2,0
BZID-1304407786,59,59,37
BZID-1304388792,46,37,34
BZID-1304405003,3,1,1
BZID-1304367836,46,45,18
BZID-1304461320,29,25,5
BZID-1304390879,9,7,3
BZID-1304363289,6,5,0
BZID-1304416541,54,50,30
BZID-1304428384,59,54,35
BZID-1304411778,37,35,17
BZID-1304417910,53,41,24
BZID-1304362234,8,5,4
BZID-1304361019,13,13,2
BZID-1304415983,2,2,2
BZID-1304378451,23,21,7
BZID-1304456194,50,44,39
BZID-1304380470,46,34,20
BZID-1304460711,59,57,47
BZID-1304466750,16,14,6
BZID-1304471191,55,50,40
BZID-1304409466,43,34,28
BZID-1304408634,32,27,12
BZID-1304396702,29,23,15
BZID-1304405205,29,20,10
BZID-1304441314,43,38,16
BZID-1304463448,50,39,32
BZID-1304373929,7,4,0
BZID-1304419386,45,35,28
BZID-1304358702,57,55,22
BZID-1304461801,50,38,31
BZID-1304380383,52,47,34
BZID-1304393140,57,54,41
BZID-1304391640,58,58,46
BZID-1304361049,10,9,2
BZID-1304370426,36,32,12
BZID-1304390953,49,42,25
BZID-1304385582,18,12,5
BZID-1304425197,0,1,1
BZID-1304396655,59,58,43
BZID-1304423403,60,58,50
BZID-1304458182,58,55,44
BZID-1304358912,59,57,55
BZID-1304441686,54,44,30
BZID-1304453639,33,27,18
BZID-1304424550,48,47,25
BZID-1304373286,20,14,7
BZID-1304469714,34,22,18
BZID-1304397423,21,21,8
BZID-1304450718,45,34,19
BZID-1304433915,36,34,19
BZID-1304361921,22,8,1
BZID-1304419318,48,41,21
BZID-1304394193,25,12,10
BZID-1304383848,25,23,11
BZID-1304361111,11,11,2
BZID-1304463705,45,39,21
BZID-1304394910,28,19,10
BZID-1304366621,6,5,0
BZID-1304410770,30,26,24
BZID-1304459547,51,36,28
BZID-1304423126,58,58,40
BZID-1304375027,44,36,25
BZID-1304362846,22,20,10
BZID-1304362223,33,19,13
BZID-1304477356,58,53,39
BZID-1304419271,29,24,9
BZID-1304394178,15,13,7
BZID-1304418500,54,54,21
BZID-1304384453,14,14,8
BZID-1304388452,3,1,0
BZID-1304361976,54,53,22
BZID-1304357996,54,54,24
BZID-1304477879,59,59,34
BZID-1304419566,28,26,10
BZID-1304367597,31,24,3
BZID-1304431394,40,30,19
BZID-1304428213,48,41,32
BZID-1304382694,30,24,23
BZID-1304429528,53,49,24
BZID-1304435168,45,28,18
BZID-1304472485,59,59,47
BZID-1304397934,22,18,9
BZID-1304383870,49,47,35
BZID-1304360527,11,11,1
BZID-1304424852,32,19,11
BZID-1304464899,58,52,44
BZID-1304424745,59,59,54
BZID-1304396593,28,24,3
BZID-1304457938,56,44,23
BZID-1304404146,53,48,27
BZID-1304375840,48,47,26
BZID-1304477674,55,40,36
BZID-1304431949,46,41,17
BZID-1304404616,25,24,13
BZID-1304430191,28,25,10
BZID-1304468657,53,41,30
BZID-1304424606,56,51,11
BZID-1304424822,15,7,3
BZID-1304372580,28,22,14
BZID-1304384889,14,14,6
BZID-1304461451,24,22,16
BZID-1304388638,16,14,2
BZID-1304407302,34,30,17
BZID-1304458209,58,57,32
BZID-1304393065,58,53,20
BZID-1304475640,9,7,5
BZID-1304415516,39,17,9
BZID-1304472932,58,55,34
BZID-1304421656,59,58,46
BZID-1304390077,19,16,8
BZID-1304441602,56,40,30
BZID-1304363248,13,10,5
BZID-1304427397,15,14,3
BZID-1304422487,29,23,11
BZID-1304465618,11,9,2
BZID-1304476460,54,51,12
BZID-1304400038,47,43,34
BZID-1304417415,8,4,3
BZID-1304476621,49,39,35
BZID-1304465099,39,35,18
BZID-1304458744,5,4,1
BZID-1304463693,57,48,21
BZID-1304385352,6,4,4
BZID-1304475314,59,50,45
BZID-1304360465,48,42,22
BZID-1304476954,49,38,22
BZID-1304405372,17,10,5
BZID-1304439271,8,7,1
BZID-1304389757,25,21,4
BZID-1304424864,38,32,11
BZID-1304399723,29,27,0
BZID-1304476471,57,47,32
BZID-1304420502,46,43,12
BZID-1304407505,57,50,45
BZID-1304407748,18,6,9
BZID-1304364832,37,31,17
BZID-1304479339,58,54,50
BZID-1304434019,4,1,1
BZID-1304480246,47,40,31
BZID-1304432095,58,56,47
BZID-1304391394,35,19,10
BZID-1304365014,3,2,0
BZID-1304471391,59,59,55
BZID-1304427336,44,34,24
BZID-1304457256,49,45,42
BZID-1304473216,56,47,38
BZID-1304478686,58,46,32
BZID-1304379327,14,10,6
BZID-1304367576,9,3,1
BZID-1304460251,56,51,40
BZID-1304411218,28,18,15
BZID-1304383840,54,51,44
BZID-1304399860,59,58,53
BZID-1304435584,40,33,11
BZID-1304438396,15,13,4
BZID-1304385927,59,50,24
BZID-1304395198,9,7,4
BZID-1304368051,40,38,8
BZID-1304439014,28,23,10
BZID-1304366739,46,42,23
BZID-1304480146,39,35,25
BZID-1304359268,17,16,6
BZID-1304374658,31,21,16
BZID-1304412918,16,9,5
BZID-1304394892,10,8,4
BZID-1304427460,57,47,41
BZID-1304467526,32,26,13
BZID-1304426440,11,10,3
BZID-1304478938,54,49,45
BZID-1304396820,18,17,0
BZID-1304357889,26,25,5
BZID-1304395911,3,3,0
BZID-1304450422,10,10,1
BZID-1304408218,23,20,7
BZID-1304386380,37,33,25
BZID-1304359777,43,36,27
BZID-1304418127,57,54,38
BZID-1304364748,4,1,0
BZID-1304376289,21,11,3
BZID-1304367876,24,20,13
BZID-1304462680,42,40,21
BZID-1304435840,58,57,43
BZID-1304461677,32,18,8
BZID-1304399793,27,24,14
BZID-1304373296,44,44,14
BZID-1304364775,29,29,17
BZID-1304430772,10,9,3
BZID-1304406465,8,8,5
BZID-1304416191,10,10,9
BZID-1304462915,56,47,23
BZID-1304364790,31,23,18
BZID-1304394412,26,22,9
BZID-1304375194,37,33,22
BZID-1304473449,44,34,8
BZID-1304381419,18,15,2
BZID-1304431869,51,31,22
BZID-1304409182,34,30,25
BZID-1304420519,22,14,2
BZID-1304454063,13,12,1
BZID-1304358422,18,5,0
BZID-1304469698,51,45,36
BZID-1304465083,47,41,36
BZID-1304421600,13,12,3
BZID-1304436163,45,42,25
BZID-1304471697,41,31,27
BZID-1304395788,3,0,0
BZID-1304476086,58,58,52
BZID-1304474667,27,21,15
BZID-1304460361,58,53,36
BZID-1304470642,39,32,29
BZID-1304418387,6,5,1
BZID-1304435155,40,37,11
BZID-1304358312,35,31,20
BZID-1304472579,46,36,14
BZID-1304459283,42,31,19
BZID-1304464350,21,16,10
BZID-1304416301,58,54,34
BZID-1304358718,47,45,26
BZID-1304472094,37,29,13
BZID-1304471658,41,33,19
BZID-1304458948,56,56,32
BZID-1304398559,44,43,3
BZID-1304401181,17,8,1
BZID-1304475056,44,41,10
BZID-1304362675,9,7,1
BZID-1304477521,12,12,1
BZID-1304359098,21,13,15
BZID-1304476620,59,51,43
BZID-1304376086,41,33,18
BZID-1304473364,49,44,38
BZID-1304376745,51,47,32
BZID-1304375968,40,30,17
BZID-1304432886,57,57,44
BZID-1304462250,44,26,12
BZID-1304464046,59,58,57
BZID-1304386450,32,27,7
BZID-1304406565,56,51,21
BZID-1304465550,59,59,51
BZID-1304376291,50,47,17
BZID-1304392524,27,22,6
BZID-1304467431,27,20,18
BZID-1304479901,54,45,40
BZID-1304422521,47,42,38
BZID-1304422540,54,45,38
BZID-1304386017,51,49,3
BZID-1304413797,39,23,18
BZID-1304467918,53,47,45
BZID-1304385622,15,13,7
BZID-1304422814,58,53,34
BZID-1304361194,57,57,15
BZID-1304469892,56,55,48
BZID-1304383019,49,47,13
BZID-1304382687,5,4,4
BZID-1304425241,59,59,46
BZID-1304448975,59,53,36
BZID-1304470748,58,57,34
BZID-1304397598,54,41,31
BZID-1304462029,55,50,35
BZID-1304381079,52,50,37
BZID-1304447035,59,58,53
BZID-1304463885,59,58,42
BZID-1304419177,52,48,40
BZID-1304477745,59,59,44
BZID-1304454924,25,19,12
BZID-1304427243,37,27,20
BZID-1304416552,57,55,47
BZID-1304456980,59,50,24
BZID-1304426703,38,37,4
BZID-1304381393,49,42,21
BZID-1304478556,47,36,22
BZID-1304466328,59,49,27
