businessid,calls
BZID-1304407998,4
BZID-1304436648,10
BZID-1304376180,9
BZID-1304449305,3
BZID-1304388282,1
BZID-1304386976,6
BZID-1304358355,1
BZID-1304420089,4
BZID-1304429537,3
BZID-1304390326,4
BZID-1304370308,8
BZID-1304608700,1
BZID-1304394899,3
BZID-1304400134,3
BZID-1304378629,13
BZID-1304386833,1
BZID-1304385281,3
BZID-1304361169,3
BZID-1304381172,1
BZID-1304364894,2
BZID-1304456002,2
BZID-1304389078,2
BZID-1304371327,5
BZID-1304402433,3
BZID-1304396282,1
BZID-1304424067,1
BZID-1304460350,1
BZID-1304465138,1
BZID-1304428075,1
BZID-1304405987,1
BZID-1304477821,4
BZID-1304423373,7
BZID-1304413717,1
BZID-1304358160,5
BZID-1304417622,2
BZID-1304475801,5
BZID-1304359763,2
BZID-1304469183,1
BZID-1304421844,3
BZID-1304356928,4
BZID-1304463758,5
BZID-1304471098,2
BZID-1304470345,1
BZID-1304395079,1
BZID-1304419712,2
BZID-1304425593,1
BZID-1304426630,3
BZID-1304373008,15
BZID-1304359095,2
BZID-1304462830,1
BZID-1304473963,1
BZID-1304473270,1
BZID-1304447856,5
BZID-1304472126,4
BZID-1304442128,6
BZID-1304478564,5
BZID-1304365113,5
BZID-1304416651,19
BZID-1304403553,3
BZID-1304396143,1
BZID-1304431436,4
BZID-1304438536,6
BZID-1304435921,1
BZID-1304373793,2
BZID-1304390159,6
BZID-1304479505,1
BZID-1304476953,5
BZID-1304438695,2
BZID-1304404461,2
BZID-1304470371,7
BZID-1304387580,2
BZID-1304376355,2
BZID-1304399314,2
BZID-1304451398,4
BZID-1304456829,1
BZID-1304368885,6
BZID-1304421761,3
BZID-1304387904,3
BZID-1304357018,2
BZID-1304411267,2
BZID-1304369274,2
BZID-1304368744,8
BZID-1304356251,1
BZID-1304373106,3
BZID-1304353045,5
BZID-1304608584,3
BZID-1304362364,4
BZID-1304411220,3
BZID-1304424851,1
BZID-1304386796,3
BZID-1304414607,3
BZID-1304455597,1
BZID-1304471559,1
BZID-1304420657,13
BZID-1304445427,2
BZID-1304405337,3
BZID-1304388513,1
BZID-1304439019,1
BZID-1304359105,2
BZID-1304410045,4
BZID-1304466301,2
BZID-1304432056,1
BZID-1304389674,1
BZID-1304465977,1
BZID-1304437874,2
BZID-1304411769,3
BZID-1304478769,3
BZID-1304438340,2
BZID-1304466920,7
BZID-1304375026,2
BZID-1304436084,1
BZID-1304394099,1
BZID-1304385135,3
BZID-1304424923,4
BZID-1304385439,6
BZID-1304451241,1
BZID-1304374650,2
BZID-1304438865,1
BZID-1304373396,1
BZID-1304461792,1
BZID-1304398423,2
BZID-1304464473,1
BZID-1304375464,7
BZID-1304364283,9
BZID-1304433497,3
BZID-1304381008,3
BZID-1304438436,3
BZID-1304393706,1
BZID-1304390886,5
BZID-1304376775,1
BZID-1304369682,1
BZID-1304471694,1
BZID-1304425551,6
BZID-1304413923,1
BZID-1304363156,8
BZID-1304435515,2
BZID-1304461819,4
BZID-1304438656,2
BZID-1304448001,1
BZID-1304451735,1
BZID-1304477246,2
BZID-1304431402,6
BZID-1304609089,1
BZID-1304383398,3
BZID-1304377657,3
BZID-1304431472,1
BZID-1304463983,5
BZID-1304362433,2
BZID-1304389434,1
BZID-1304382240,1
BZID-1304401054,1
BZID-1304351643,2
BZID-1304367589,7
BZID-1304473737,1
BZID-1304434094,2
BZID-1304370552,2
BZID-1304389237,6
BZID-1304452868,1
BZID-1304381464,11
BZID-1304405619,2
BZID-1304465063,1
BZID-1304473308,1
BZID-1304437023,8
BZID-1304374082,3
BZID-1304408457,4
BZID-1304362542,3
BZID-1304420940,3
BZID-1304380421,5
BZID-1304463337,4
BZID-1304350522,1
BZID-1304391700,4
BZID-1304381133,3
BZID-1304400051,5
BZID-1304418519,1
BZID-1304357771,5
BZID-1304473725,1
BZID-1304477183,4
BZID-1304467855,2
BZID-1304595778,2
BZID-1304383266,3
BZID-1304393545,3
BZID-1304443181,1
BZID-1304391819,9
BZID-1304464194,1
BZID-1304470919,1
BZID-1304605160,2
BZID-1304421257,3
BZID-1304421466,3
BZID-1304460994,2
BZID-1304414644,3
BZID-1304446841,3
BZID-1304404763,1
BZID-1304441622,2
BZID-1304437766,5
BZID-1304447966,1
BZID-1304448046,2
BZID-1304440003,9
BZID-1304466949,4
BZID-1304425158,12
BZID-1304392822,2
BZID-1304432477,1
BZID-1304445063,4
BZID-1304374162,6
BZID-1304425135,3
BZID-1304385050,23
BZID-1304392485,4
BZID-1304453860,2
BZID-1304465302,2
BZID-1304415081,2
BZID-1304401311,1
BZID-1304419054,4
BZID-1304364347,3
BZID-1304442427,1
BZID-1304463296,1
BZID-1304363922,2
BZID-1304419167,5
BZID-1304429664,2
BZID-1304364366,3
BZID-1304367072,3
BZID-1304469762,2
BZID-1304425285,1
BZID-1304368014,8
BZID-1304383367,3
BZID-1304361128,1
BZID-1304418352,1
BZID-1304383326,3
BZID-1304390316,6
BZID-1304477090,1
BZID-1304462889,1
BZID-1304460317,2
BZID-1304421967,2
BZID-1304374801,1
BZID-1304479682,2
BZID-1304446770,3
BZID-1304605753,2
BZID-1304597940,1
BZID-1304449730,1
BZID-1304353525,4
BZID-1304385457,9
BZID-1304373664,1
BZID-1304426741,6
BZID-1304384198,2
BZID-1304390115,2
BZID-1304380825,3
BZID-1304421281,3
BZID-1304469089,4
BZID-1304363546,3
BZID-1304380734,3
BZID-1304438280,4
BZID-1304361984,4
BZID-1304431895,2
BZID-1304360739,5
BZID-1304435352,1
BZID-1304376119,5
BZID-1304469490,1
BZID-1304479347,4
BZID-1304373883,2
BZID-1304428456,5
BZID-1304414386,3
BZID-1304422239,4
BZID-1304449103,4
BZID-1304434106,2
BZID-1304469223,1
BZID-1304350613,3
BZID-1304469951,2
BZID-1304404606,3
BZID-1304410251,1
BZID-1304456318,2
BZID-1304390978,3
BZID-1304466221,1
BZID-1304361511,2
BZID-1304360020,2
BZID-1304350182,2
BZID-1304606739,2
BZID-1304448077,2
BZID-1304431628,7
BZID-1304392023,1
BZID-1304391706,3
BZID-1304361663,1
BZID-1304349704,5
BZID-1304427144,3
BZID-1304416470,2
BZID-1304385073,4
BZID-1304380729,3
BZID-1304368725,2
BZID-1304389394,3
BZID-1304478910,3
BZID-1304411131,2
BZID-1304429565,8
BZID-1304435803,7
BZID-1304431399,2
BZID-1304459100,2
BZID-1304603291,2
BZID-1304412715,5
BZID-1304389476,1
BZID-1304447195,5
BZID-1304477545,2
BZID-1304479827,1
BZID-1304382234,1
BZID-1304421277,2
BZID-1304607283,1
BZID-1304405041,1
BZID-1304426468,13
BZID-1304358361,2
BZID-1304371571,1
BZID-1304475238,1
BZID-1304370460,4
BZID-1304362556,2
BZID-1304415490,2
BZID-1304436601,1
BZID-1304473235,1
BZID-1304477651,1
BZID-1304352794,1
BZID-1304416504,3
BZID-1304438068,1
BZID-1304418950,1
BZID-1304459221,1
BZID-1304349455,1
BZID-1304393106,15
BZID-1304435324,5
BZID-1304388835,4
BZID-1304410867,3
BZID-1304389489,4
BZID-1304394147,7
BZID-1304378163,1
BZID-1304390272,2
BZID-1304367609,1
BZID-1304359745,3
BZID-1304374906,2
BZID-1304450091,1
BZID-1304363464,1
BZID-1304450005,5
BZID-1304379319,4
BZID-1304412610,3
BZID-1304397601,3
BZID-1304367832,2
BZID-1304421366,1
BZID-1304447596,8
BZID-1304455371,2
BZID-1304431655,1
BZID-1304379815,4
BZID-1304476673,1
BZID-1304477243,1
BZID-1304412147,2
BZID-1304466574,2
BZID-1304410357,3
BZID-1304381363,3
BZID-1304365828,2
BZID-1304383174,1
BZID-1304433626,1
BZID-1304363690,4
BZID-1304460639,7
BZID-1304383975,5
BZID-1304352819,2
BZID-1304426656,2
BZID-1304364082,2
BZID-1304456863,2
BZID-1304424430,9
BZID-1304427308,1
BZID-1304431800,3
BZID-1304404174,1
BZID-1304418938,2
BZID-1304469123,1
BZID-1304417289,3
BZID-1304358430,1
BZID-1304453075,3
BZID-1304447148,1
BZID-1304359440,2
BZID-1304382166,1
BZID-1304445344,1
BZID-1304384612,2
BZID-1304476591,2
BZID-1304470269,1
BZID-1304404081,6
BZID-1304381748,1
BZID-1304419084,2
BZID-1304476088,4
BZID-1304419065,2
BZID-1304418949,2
BZID-1304610013,1
BZID-1304470620,2
BZID-1304401790,2
BZID-1304436021,6
BZID-1304411947,5
BZID-1304358188,6
BZID-1304366572,1
BZID-1304421414,1
BZID-1304373966,2
BZID-1304372512,4
BZID-1304358435,1
BZID-1304450732,1
BZID-1304390382,1
BZID-1304404706,1
BZID-1304356619,1
BZID-1304374715,2
BZID-1304362262,3
BZID-1304425122,5
BZID-1304426662,1
BZID-1304388411,3
BZID-1304429400,4
BZID-1304369750,2
BZID-1304374585,3
BZID-1304476179,1
BZID-1304362377,1
BZID-1304456576,5
BZID-1304404860,3
BZID-1304596822,1
BZID-1304426840,3
BZID-1304397151,1
BZID-1304425053,2
BZID-1304431185,1
BZID-1304358473,1
BZID-1304405114,2
BZID-1304371795,9
BZID-1304469870,4
BZID-1304435234,4
BZID-1304441236,1
BZID-1304476463,1
BZID-1304471065,1
BZID-1304477534,2
BZID-1304470591,2
BZID-1304474830,3
BZID-1304407231,1
BZID-1304395610,2
BZID-1304400278,6
BZID-1304357597,3
BZID-1304436748,3
BZID-1304350356,2
BZID-1304473835,1
BZID-1304417671,1
BZID-1304473817,1
BZID-1304382158,1
BZID-1304397514,1
BZID-1304418567,4
BZID-1304370582,4
BZID-1304432010,4
BZID-1304395709,1
BZID-1304416966,3
BZID-1304478296,2
BZID-1304368297,4
BZID-1304450579,3
BZID-1304380641,1
BZID-1304474614,10
BZID-1304431016,1
BZID-1304465810,1
BZID-1304361505,3
BZID-1304352915,2
BZID-1304464821,3
BZID-1304393282,4
BZID-1304371146,7
BZID-1304393304,1
BZID-1304466830,4
BZID-1304436822,3
BZID-1304478203,3
BZID-1304458858,1
BZID-1304372094,1
BZID-1304375537,6
BZID-1304426005,1
BZID-1304429307,18
BZID-1304437914,5
BZID-1304445974,6
BZID-1304362787,1
BZID-1304405757,1
BZID-1304358394,9
BZID-1304375954,3
BZID-1304376328,1
BZID-1304410314,1
BZID-1304375421,5
BZID-1304445316,4
BZID-1304424364,1
BZID-1304364220,5
BZID-1304609550,1
BZID-1304464540,5
BZID-1304443785,2
BZID-1304413788,2
BZID-1304439025,2
BZID-1304444138,2
BZID-1304464465,1
BZID-1304412931,3
BZID-1304375656,4
BZID-1304370163,5
BZID-1304387061,3
BZID-1304432555,2
BZID-1304413966,3
BZID-1304456912,2
BZID-1304456465,1
BZID-1304362998,2
BZID-1304432314,5
BZID-1304376502,2
BZID-1304398843,1
BZID-1304385721,1
BZID-1304396286,1
BZID-1304468724,2
BZID-1304475180,2
BZID-1304441058,1
BZID-1304415552,2
BZID-1304350469,3
BZID-1304362916,3
BZID-1304374502,3
BZID-1304463262,1
BZID-1304607553,1
BZID-1304405235,1
BZID-1304424179,1
BZID-1304428552,1
BZID-1304407939,8
BZID-1304361925,2
BZID-1304437207,1
BZID-1304408363,4
BZID-1304408626,3
BZID-1304431373,1
BZID-1304401917,1
BZID-1304380181,4
BZID-1304446010,1
BZID-1304445794,1
BZID-1304399285,2
BZID-1304383188,1
BZID-1304452468,5
BZID-1304464112,1
BZID-1304429377,2
BZID-1304418025,2
BZID-1304394763,2
BZID-1304460325,5
BZID-1304472125,2
BZID-1304469895,1
BZID-1304402794,1
BZID-1304375534,1
BZID-1304478469,3
BZID-1304412281,2
BZID-1304441352,3
BZID-1304434718,2
BZID-1304360281,4
BZID-1304401864,3
BZID-1304416430,2
BZID-1304356439,1
BZID-1304457069,2
BZID-1304404489,5
BZID-1304399370,2
BZID-1304448859,1
BZID-1304400891,1
BZID-1304398086,3
BZID-1304360349,1
BZID-1304476676,1
BZID-1304448809,1
BZID-1304412590,2
BZID-1304403685,1
BZID-1304409374,1
BZID-1304371915,2
BZID-1304360718,1
BZID-1304458065,1
BZID-1304411427,1
BZID-1304378359,2
BZID-1304368812,5
BZID-1304398898,2
BZID-1304381289,2
BZID-1304381243,4
BZID-1304429294,1
BZID-1304438611,3
BZID-1304367747,5
BZID-1304477131,1
BZID-1304373700,3
BZID-1304386942,4
BZID-1304466644,2
BZID-1304375868,2
BZID-1304370050,5
BZID-1304448662,1
BZID-1304433637,2
BZID-1304392195,2
BZID-1304413101,1
BZID-1304456219,1
BZID-1304468626,1
BZID-1304399430,6
BZID-1304390179,3
BZID-1304609069,4
BZID-1304385084,2
BZID-1304360764,1
BZID-1304376744,2
BZID-1304385993,2
BZID-1304408304,4
BZID-1304393599,3
BZID-1304359510,2
BZID-1304413683,2
BZID-1304396252,2
BZID-1304407225,2
BZID-1304386724,3
BZID-1304458298,1
BZID-1304358115,4
BZID-1304438219,5
BZID-1304349838,1
BZID-1304433558,2
BZID-1304435666,2
BZID-1304401199,2
BZID-1304419794,5
BZID-1304379037,4
BZID-1304392915,1
BZID-1304461470,1
BZID-1304463464,1
BZID-1304455880,1
BZID-1304354458,2
BZID-1304470570,3
BZID-1304422061,2
BZID-1304607201,3
BZID-1304395962,1
BZID-1304391214,8
BZID-1304480037,2
BZID-1304392014,1
BZID-1304383909,2
BZID-1304373373,4
BZID-1304369767,3
BZID-1304378218,1
BZID-1304374110,2
BZID-1304367123,5
BZID-1304475948,2
BZID-1304469112,1
BZID-1304392772,2
BZID-1304383124,1
BZID-1304424777,2
BZID-1304473277,1
BZID-1304424394,1
BZID-1304422463,1
BZID-1304465811,2
BZID-1304408259,1
BZID-1304382934,2
BZID-1304469584,1
BZID-1304479494,1
BZID-1304410269,2
BZID-1304429544,1
BZID-1304462197,1
BZID-1304446236,1
BZID-1304368471,2
BZID-1304410062,1
BZID-1304469909,1
BZID-1304479356,1
BZID-1304450625,1
BZID-1304410745,2
BZID-1304397976,1
BZID-1304439727,1
BZID-1304362810,2
BZID-1304389737,1
BZID-1304394907,1
BZID-1304398378,1
BZID-1304423225,8
BZID-1304367325,1
BZID-1304476804,4
BZID-1304464469,1
BZID-1304475129,1
BZID-1304399271,3
BZID-1304360974,3
BZID-1304375800,9
BZID-1304374736,3
BZID-1304456317,4
BZID-1304460326,3
BZID-1304397965,3
BZID-1304400980,2
BZID-1304421295,2
BZID-1304391693,1
BZID-1304435956,2
BZID-1304444016,1
BZID-1304466807,4
BZID-1304447186,6
BZID-1304414095,3
BZID-1304460659,10
BZID-1304368082,1
BZID-1304464512,2
BZID-1304457089,1
BZID-1304407034,2
BZID-1304461973,2
BZID-1304445294,1
BZID-1304448188,1
BZID-1304418275,8
BZID-1304432523,4
BZID-1304469977,1
BZID-1304444249,1
BZID-1304402155,1
BZID-1304415916,1
BZID-1304448373,4
BZID-1304433794,2
BZID-1304367904,2
BZID-1304354396,2
BZID-1304400332,1
BZID-1304449786,1
BZID-1304473118,1
BZID-1304472330,5
BZID-1304418883,5
BZID-1304401771,3
BZID-1304476567,1
BZID-1304365595,5
BZID-1304438466,10
BZID-1304473068,1
BZID-1304473654,1
BZID-1304367699,1
BZID-1304438326,3
BZID-1304472779,6
BZID-1304382587,2
BZID-1304353526,1
BZID-1304422746,1
BZID-1304389720,1
BZID-1304429211,2
BZID-1304376771,4
BZID-1304463048,3
BZID-1304352208,1
BZID-1304434085,1
BZID-1304392095,3
BZID-1304438555,3
BZID-1304350878,4
BZID-1304445650,1
BZID-1304444666,1
BZID-1304388246,1
BZID-1304370459,5
BZID-1304405828,1
BZID-1304415043,1
BZID-1304478751,1
BZID-1304377811,2
BZID-1304413989,1
BZID-1304433313,1
BZID-1304478837,2
BZID-1304381501,1
BZID-1304390754,2
BZID-1304461317,1
BZID-1304350076,2
BZID-1304476749,3
BZID-1304392827,2
BZID-1304371008,6
BZID-1304437581,2
BZID-1304448099,1
BZID-1304460987,13
BZID-1304418844,1
BZID-1304361665,5
BZID-1304352303,3
BZID-1304441556,2
BZID-1304427767,2
BZID-1304392852,5
BZID-1304421502,4
BZID-1304377844,4
BZID-1304379389,2
BZID-1304411662,1
BZID-1304378004,4
BZID-1304433603,2
BZID-1304460597,2
BZID-1304432180,2
BZID-1304399935,1
BZID-1304442770,3
BZID-1304419141,1
BZID-1304374016,3
BZID-1304359219,9
BZID-1304423594,3
BZID-1304384559,2
BZID-1304380569,2
BZID-1304388344,5
BZID-1304384510,1
BZID-1304383673,1
BZID-1304406537,1
BZID-1304361810,6
BZID-1304367808,4
BZID-1304376126,2
BZID-1304388649,4
BZID-1304356549,3
BZID-1304472621,2
BZID-1304475227,1
BZID-1304414569,2
