businessid,null_search_cnt
BZID-1304350277,2
BZID-1304350278,2
BZID-1304350286,1
BZID-1304350289,9
BZID-1304350293,6
BZID-1304350297,14
BZID-1304350300,1
BZID-1304350304,6
BZID-1304350305,3
BZID-1304350306,3
BZID-1304350311,3
BZID-1304350321,3
BZID-1304350324,2
BZID-1304350326,3
BZID-1304350332,1
BZID-1304350335,1
BZID-1304350336,1
BZID-1304350338,1
BZID-1304350352,1
BZID-1304350356,29
BZID-1304350360,1
BZID-1304350370,1
BZID-1304350375,1
BZID-1304350376,2
BZID-1304350377,2
BZID-1304350380,4
BZID-1304350390,7
BZID-1304350394,7
BZID-1304350400,3
BZID-1304350402,4
BZID-1304350406,2
BZID-1304350409,1
BZID-1304350419,11
BZID-1304350420,1
BZID-1304350421,5
BZID-1304350423,1
BZID-1304350425,1
BZID-1304350427,1
BZID-1304350428,5
BZID-1304350429,2
BZID-1304350431,4
BZID-1304350437,1
BZID-1304350444,2
BZID-1304350445,10
BZID-1304350446,21
BZID-1304350467,6
BZID-1304350469,2
BZID-1304350475,8
BZID-1304350477,16
BZID-1304350479,1
BZID-1304350482,2
BZID-1304350484,14
BZID-1304350486,2
BZID-1304350497,18
BZID-1304350500,20
BZID-1304350501,1
BZID-1304350502,1
BZID-1304350504,3
BZID-1304350506,3
BZID-1304350512,1
BZID-1304350513,11
BZID-1304350514,1
BZID-1304350519,3
BZID-1304350523,12
BZID-1304350524,29
BZID-1304350525,1
BZID-1304350527,2
BZID-1304350528,2
BZID-1304350533,3
BZID-1304350535,12
BZID-1304350537,2
BZID-1304350541,11
BZID-1304350543,21
BZID-1304350554,4
BZID-1304350558,4
BZID-1304350560,1
BZID-1304350562,1
BZID-1304350564,1
BZID-1304350566,3
BZID-1304350567,3
BZID-1304350571,1
BZID-1304350573,6
BZID-1304350574,2
BZID-1304350576,4
BZID-1304350579,28
BZID-1304350583,2
BZID-1304350584,1
BZID-1304350588,10
BZID-1304350589,2
BZID-1304350590,2
BZID-1304350591,1
BZID-1304350593,17
BZID-1304350599,9
BZID-1304350600,3
BZID-1304350603,1
BZID-1304350606,2
BZID-1304350613,1
BZID-1304350622,6
BZID-1304350623,1
BZID-1304350624,5
BZID-1304350626,4
BZID-1304350630,1
BZID-1304350632,1
BZID-1304350633,8
BZID-1304350634,2
BZID-1304350635,1
BZID-1304350639,1
BZID-1304350648,5
BZID-1304350650,18
BZID-1304350651,2
BZID-1304350652,2
BZID-1304350654,3
BZID-1304350658,4
BZID-1304350661,4
BZID-1304350662,3
BZID-1304350665,1
BZID-1304350669,5
BZID-1304350675,7
BZID-1304350677,1
BZID-1304350687,3
BZID-1304350690,2
BZID-1304350692,10
BZID-1304350694,8
BZID-1304350696,14
BZID-1304350698,2
BZID-1304350699,3
BZID-1304350703,1
BZID-1304350704,6
BZID-1304350708,1
BZID-1304350709,1
BZID-1304350714,1
BZID-1304350716,1
BZID-1304350721,2
BZID-1304350722,36
BZID-1304350724,7
BZID-1304350727,2
BZID-1304350729,2
BZID-1304350732,1
BZID-1304350735,1
BZID-1304350742,27
BZID-1304350752,1
BZID-1304350755,10
BZID-1304350760,6
BZID-1304350761,1
BZID-1304350764,1
BZID-1304350766,3
BZID-1304350768,4
BZID-1304350769,1
BZID-1304350770,2
BZID-1304350777,2
BZID-1304350781,3
BZID-1304350785,1
BZID-1304350787,2
BZID-1304350789,1
BZID-1304350792,1
