businessid,null_search_cnt
BZID-1304360897,1
BZID-1304360902,2
BZID-1304360905,1
BZID-1304360908,2
BZID-1304360910,10
BZID-1304360911,2
BZID-1304360914,3
BZID-1304360915,1
BZID-1304360917,6
BZID-1304360920,1
BZID-1304360925,1
BZID-1304360926,13
BZID-1304360927,1
BZID-1304360928,1
BZID-1304360930,1
BZID-1304360931,3
BZID-1304360933,5
BZID-1304360934,2
BZID-1304360935,1
BZID-1304360936,1
BZID-1304360941,1
BZID-1304360944,1
BZID-1304360947,1
BZID-1304360950,2
BZID-1304360954,1
BZID-1304360955,1
BZID-1304360957,1
BZID-1304360958,1
BZID-1304360963,1
BZID-1304360965,5
BZID-1304360972,1
BZID-1304360975,3
BZID-1304360976,7
BZID-1304360978,1
BZID-1304360980,1
BZID-1304360985,3
BZID-1304360988,1
BZID-1304360991,5
BZID-1304360992,9
BZID-1304360993,2
BZID-1304360998,49
BZID-1304361000,1
BZID-1304361001,1
BZID-1304361003,1
BZID-1304361004,11
BZID-1304361010,2
BZID-1304361012,18
BZID-1304361013,8
BZID-1304361016,1
BZID-1304361018,1
BZID-1304361019,1
BZID-1304361020,4
BZID-1304361021,1
BZID-1304361022,1
BZID-1304361023,1
BZID-1304361024,2
BZID-1304361030,20
BZID-1304361033,1
BZID-1304361034,7
BZID-1304361039,12
BZID-1304361042,4
BZID-1304361046,4
BZID-1304361048,1
BZID-1304361049,3
BZID-1304361051,2
BZID-1304361054,1
BZID-1304361061,1
BZID-1304361064,18
BZID-1304361068,4
BZID-1304361069,1
BZID-1304361070,9
BZID-1304361073,3
BZID-1304361076,1
BZID-1304361080,8
BZID-1304361082,2
BZID-1304361083,3
BZID-1304361086,1
BZID-1304361088,1
BZID-1304361094,9
BZID-1304361097,1
BZID-1304361102,6
BZID-1304361103,1
BZID-1304361107,2
BZID-1304361108,4
BZID-1304361110,23
BZID-1304361111,2
BZID-1304361114,11
BZID-1304361116,2
BZID-1304361117,13
BZID-1304361121,1
BZID-1304361124,8
BZID-1304361125,2
BZID-1304361126,2
BZID-1304361131,3
BZID-1304361132,6
BZID-1304361134,2
BZID-1304361137,34
BZID-1304361147,2
BZID-1304361148,2
BZID-1304361150,13
BZID-1304361153,8
BZID-1304361154,2
BZID-1304361157,2
BZID-1304361159,2
BZID-1304361163,2
BZID-1304361165,1
BZID-1304361167,4
BZID-1304361169,15
BZID-1304361171,29
BZID-1304361176,1
BZID-1304361177,5
BZID-1304361178,1
BZID-1304361180,1
BZID-1304361185,10
BZID-1304361186,2
BZID-1304361188,1
BZID-1304361190,12
BZID-1304361194,20
BZID-1304361196,7
BZID-1304361201,1
BZID-1304361202,1
BZID-1304361203,1
BZID-1304361204,18
BZID-1304361206,1
BZID-1304361209,4
BZID-1304361211,1
BZID-1304361212,1
BZID-1304361220,3
BZID-1304361222,10
BZID-1304361230,2
BZID-1304361234,6
BZID-1304361235,3
BZID-1304361236,1
BZID-1304361238,11
BZID-1304361239,2
BZID-1304361242,1
BZID-1304361245,5
BZID-1304361248,28
BZID-1304361253,3
BZID-1304361257,4
BZID-1304361259,1
BZID-1304361260,1
BZID-1304361261,3
BZID-1304361264,3
BZID-1304361265,7
BZID-1304361266,2
BZID-1304361267,6
BZID-1304361271,1
BZID-1304361272,1
BZID-1304361273,1
BZID-1304361275,9
BZID-1304361279,2
BZID-1304361297,2
BZID-1304361298,4
BZID-1304361300,4
BZID-1304361302,3
BZID-1304361303,5
BZID-1304361312,20
BZID-1304361317,1
BZID-1304361318,1
BZID-1304361324,2
BZID-1304361327,7
BZID-1304361329,3
BZID-1304361330,3
BZID-1304361338,4
BZID-1304361339,11
BZID-1304361344,4
BZID-1304361350,1
BZID-1304361354,1
BZID-1304361360,1
BZID-1304361361,1
BZID-1304361366,30
BZID-1304361372,1
BZID-1304361374,2
BZID-1304361379,2
BZID-1304361380,3
BZID-1304361384,2
BZID-1304361386,4
BZID-1304361389,2
BZID-1304361390,16
BZID-1304361402,2
BZID-1304361405,2
BZID-1304361406,20
BZID-1304361409,3
BZID-1304361414,1
BZID-1304361415,1
BZID-1304361422,1
BZID-1304361425,3
BZID-1304361428,24
BZID-1304361440,2
BZID-1304361442,4
BZID-1304361448,3
BZID-1304361449,1
BZID-1304361450,2
BZID-1304361451,2
BZID-1304361457,9
BZID-1304361464,2
BZID-1304361469,5
BZID-1304361471,2
BZID-1304361480,7
BZID-1304361482,23
BZID-1304361489,6
BZID-1304361490,22
BZID-1304361491,6
BZID-1304361492,10
BZID-1304361494,1
BZID-1304361505,2
BZID-1304361506,2
BZID-1304361510,3
BZID-1304361511,10
BZID-1304361516,1
BZID-1304361517,1
BZID-1304361519,1
BZID-1304361520,4
BZID-1304361525,15
BZID-1304361530,11
BZID-1304361538,1
BZID-1304361543,33
BZID-1304361550,1
BZID-1304361555,2
BZID-1304361556,44
BZID-1304361562,13
BZID-1304361568,2
BZID-1304361570,2
BZID-1304361577,81
BZID-1304361581,9
BZID-1304361586,1
BZID-1304361587,5
BZID-1304361599,1
BZID-1304361600,1
BZID-1304361603,1
BZID-1304361606,1
BZID-1304361614,4
BZID-1304361620,3
BZID-1304361626,2
BZID-1304361632,18
BZID-1304361636,3
BZID-1304361637,1
BZID-1304361639,2
BZID-1304361641,15
BZID-1304361642,4
BZID-1304361644,1
BZID-1304361648,3
BZID-1304361658,4
BZID-1304361663,1
BZID-1304361671,3
BZID-1304361674,4
BZID-1304361675,1
BZID-1304361676,4
BZID-1304361677,11
BZID-1304361678,13
BZID-1304361690,15
BZID-1304361696,5
BZID-1304361698,41
BZID-1304361712,1
BZID-1304361713,1
BZID-1304361716,8
BZID-1304361723,7
BZID-1304361726,24
BZID-1304361728,7
BZID-1304361733,14
BZID-1304361734,2
BZID-1304361738,2
BZID-1304361740,3
BZID-1304361742,1
BZID-1304361743,1
BZID-1304361747,1
BZID-1304361748,12
BZID-1304361749,4
BZID-1304361753,4
BZID-1304361756,1
BZID-1304361765,8
BZID-1304361770,1
BZID-1304361777,1
BZID-1304361778,1
BZID-1304361781,9
BZID-1304361784,4
BZID-1304361786,4
BZID-1304361790,5
BZID-1304361793,6
BZID-1304361794,3
BZID-1304361796,1
BZID-1304361798,26
BZID-1304361803,2
BZID-1304361809,4
BZID-1304361810,1
BZID-1304361818,2
BZID-1304361820,4
BZID-1304361822,11
BZID-1304361824,28
BZID-1304361826,7
BZID-1304361828,2
BZID-1304361831,13
BZID-1304361833,4
BZID-1304361834,2
BZID-1304361836,1
BZID-1304361839,8
BZID-1304361841,19
BZID-1304361842,7
BZID-1304361844,3
BZID-1304361846,4
BZID-1304361850,10
BZID-1304361854,4
BZID-1304361863,1
BZID-1304361866,2
BZID-1304361867,2
BZID-1304361904,7
BZID-1304361911,5
BZID-1304361924,7
BZID-1304361929,1
BZID-1304361935,3
BZID-1304361940,1
BZID-1304361943,16
BZID-1304361944,3
BZID-1304361945,1
BZID-1304361948,3
BZID-1304361949,1
BZID-1304361950,1
BZID-1304361959,5
BZID-1304361960,1
BZID-1304361961,5
BZID-1304361964,9
BZID-1304361966,4
BZID-1304361970,1
BZID-1304361971,8
BZID-1304361973,6
BZID-1304361977,11
BZID-1304361979,4
BZID-1304361984,1
BZID-1304361985,3
BZID-1304361986,11
BZID-1304361989,2
BZID-1304361991,4
BZID-1304361993,1
BZID-1304361994,1
BZID-1304361995,8
BZID-1304361997,2
BZID-1304362000,9
BZID-1304362003,2
BZID-1304362009,1
BZID-1304362012,6
BZID-1304362017,5
BZID-1304362019,14
BZID-1304362023,3
BZID-1304362024,1
BZID-1304362027,5
BZID-1304362028,23
BZID-1304362029,5
BZID-1304362031,3
BZID-1304362032,1
BZID-1304362034,1
BZID-1304362041,43
BZID-1304362043,8
BZID-1304362044,13
BZID-1304362047,4
BZID-1304362049,1
BZID-1304362053,4
BZID-1304362058,2
BZID-1304362059,2
BZID-1304362060,1
BZID-1304362061,1
BZID-1304362062,1
BZID-1304362074,2
BZID-1304362079,6
BZID-1304362081,1
BZID-1304362082,11
BZID-1304362085,1
BZID-1304362089,1
BZID-1304362091,5
BZID-1304362095,2
BZID-1304362100,8
BZID-1304362101,2
BZID-1304362102,2
BZID-1304362106,3
BZID-1304362107,15
BZID-1304362108,3
BZID-1304362109,4
BZID-1304362110,1
BZID-1304362112,107
BZID-1304362124,9
BZID-1304362138,2
BZID-1304362150,1
BZID-1304362151,5
BZID-1304362160,2
BZID-1304362162,1
BZID-1304362175,5
BZID-1304362176,6
BZID-1304362182,18
BZID-1304362183,1
BZID-1304362185,2
BZID-1304362186,4
BZID-1304362187,2
BZID-1304362189,4
BZID-1304362190,1
BZID-1304362192,1
BZID-1304362195,1
BZID-1304362205,3
BZID-1304362206,16
BZID-1304362214,1
BZID-1304362219,1
BZID-1304362225,1
BZID-1304362228,1
BZID-1304362232,1
BZID-1304362233,2
BZID-1304362238,6
BZID-1304362241,1
BZID-1304362244,2
BZID-1304362245,2
BZID-1304362246,1
BZID-1304362247,2
BZID-1304362251,19
BZID-1304362252,1
BZID-1304362253,1
BZID-1304362258,18
BZID-1304362259,1
BZID-1304362260,3
BZID-1304362263,2
BZID-1304362267,7
BZID-1304362268,2
BZID-1304362270,21
BZID-1304362272,2
BZID-1304362273,6
BZID-1304362274,3
BZID-1304362283,12
BZID-1304362284,1
BZID-1304362287,1
BZID-1304362292,4
BZID-1304362293,2
BZID-1304362295,2
BZID-1304362297,1
BZID-1304362303,1
BZID-1304362304,5
BZID-1304362310,1
BZID-1304362311,2
BZID-1304362312,3
BZID-1304362313,5
BZID-1304362319,9
BZID-1304362320,5
BZID-1304362322,5
BZID-1304362323,1
BZID-1304362329,4
BZID-1304362333,3
BZID-1304362334,2
BZID-1304362342,2
BZID-1304362344,2
BZID-1304362348,1
BZID-1304362349,1
BZID-1304362350,2
BZID-1304362355,5
BZID-1304362358,9
BZID-1304362361,1
BZID-1304362366,5
BZID-1304362367,2
BZID-1304362369,1
BZID-1304362371,1
BZID-1304362379,2
BZID-1304362384,2
BZID-1304362385,4
BZID-1304362387,6
BZID-1304362389,2
BZID-1304362391,10
BZID-1304362392,3
BZID-1304362393,2
BZID-1304362398,3
BZID-1304362412,1
BZID-1304362414,1
BZID-1304362416,1
BZID-1304362417,1
BZID-1304362418,4
BZID-1304362420,7
BZID-1304362426,2
BZID-1304362428,1
BZID-1304362430,1
BZID-1304362434,11
BZID-1304362437,5
BZID-1304362439,2
BZID-1304362440,2
BZID-1304362447,2
BZID-1304362450,16
BZID-1304362455,8
BZID-1304362457,1
BZID-1304362459,1
BZID-1304362469,31
BZID-1304362474,1
BZID-1304362478,1
BZID-1304362487,2
BZID-1304362489,9
BZID-1304362493,6
BZID-1304362494,6
BZID-1304362497,26
BZID-1304362500,3
BZID-1304362503,4
BZID-1304362512,2
BZID-1304362515,4
BZID-1304362516,2
BZID-1304362517,14
BZID-1304362518,2
BZID-1304362520,3
BZID-1304362525,1
BZID-1304362526,2
BZID-1304362528,3
BZID-1304362529,32
BZID-1304362532,14
BZID-1304362534,2
BZID-1304362536,2
BZID-1304362537,1
BZID-1304362539,11
BZID-1304362543,4
BZID-1304362544,21
BZID-1304362551,1
BZID-1304362554,5
BZID-1304362558,1
BZID-1304362559,6
BZID-1304362569,2
BZID-1304362572,26
BZID-1304362581,8
BZID-1304362582,13
BZID-1304362585,2
BZID-1304362591,1
BZID-1304362601,3
BZID-1304362605,3
BZID-1304362608,1
BZID-1304362614,5
BZID-1304362615,2
BZID-1304362617,2
BZID-1304362619,23
BZID-1304362621,2
BZID-1304362622,2
BZID-1304362624,4
BZID-1304362628,3
BZID-1304362630,11
BZID-1304362631,6
BZID-1304362633,4
BZID-1304362637,13
BZID-1304362645,7
BZID-1304362650,10
BZID-1304362661,2
BZID-1304362662,22
BZID-1304362663,7
BZID-1304362664,20
BZID-1304362668,1
BZID-1304362673,5
BZID-1304362677,10
BZID-1304362688,1
BZID-1304362689,1
BZID-1304362696,17
BZID-1304362697,7
BZID-1304362700,2
BZID-1304362701,3
BZID-1304362709,1
BZID-1304362710,6
BZID-1304362711,2
BZID-1304362716,7
BZID-1304362721,1
BZID-1304362723,4
BZID-1304362728,1
BZID-1304362730,1
BZID-1304362732,1
BZID-1304362740,3
BZID-1304362741,29
BZID-1304362742,1
BZID-1304362744,21
BZID-1304362750,1
BZID-1304362753,2
BZID-1304362755,1
BZID-1304362756,1
BZID-1304362762,3
BZID-1304362771,3
BZID-1304362772,1
BZID-1304362774,2
BZID-1304362776,1
BZID-1304362777,3
BZID-1304362780,40
BZID-1304362782,1
BZID-1304362784,8
BZID-1304362785,12
BZID-1304362787,5
BZID-1304362789,7
BZID-1304362792,2
BZID-1304362802,7
BZID-1304362805,4
BZID-1304362806,9
BZID-1304362812,2
BZID-1304362814,1
BZID-1304362815,1
BZID-1304362816,3
BZID-1304362817,2
BZID-1304362818,10
BZID-1304362822,39
BZID-1304362824,2
BZID-1304362826,2
BZID-1304362830,1
BZID-1304362832,2
BZID-1304362833,1
BZID-1304362835,1
BZID-1304362836,1
BZID-1304362840,14
BZID-1304362841,12
BZID-1304362842,2
BZID-1304362846,22
BZID-1304362848,8
BZID-1304362850,4
BZID-1304362851,8
BZID-1304362853,1
BZID-1304362855,1
BZID-1304362859,6
BZID-1304362861,7
BZID-1304362862,20
BZID-1304362863,7
BZID-1304362865,1
BZID-1304362866,6
BZID-1304362877,3
BZID-1304362879,1
BZID-1304362882,3
BZID-1304362885,4
BZID-1304362886,2
BZID-1304362888,1
BZID-1304362889,1
BZID-1304362891,9
BZID-1304362894,1
BZID-1304362896,4
BZID-1304362897,3
BZID-1304362900,8
BZID-1304362911,1
BZID-1304362912,1
BZID-1304362913,5
BZID-1304362919,1
BZID-1304362925,8
BZID-1304362927,3
BZID-1304362928,1
BZID-1304362931,6
BZID-1304362932,5
BZID-1304362940,8
BZID-1304362941,15
BZID-1304362947,2
BZID-1304362949,3
BZID-1304362951,12
BZID-1304362956,1
BZID-1304362961,1
BZID-1304362963,2
BZID-1304362964,4
BZID-1304362965,3
BZID-1304362967,4
BZID-1304362970,9
BZID-1304362973,1
BZID-1304362982,3
BZID-1304362988,3
BZID-1304362991,7
BZID-1304362993,2
BZID-1304362996,2
BZID-1304362997,10
BZID-1304363000,1
BZID-1304363002,17
BZID-1304363004,6
BZID-1304363005,5
BZID-1304363008,2
BZID-1304363010,2
BZID-1304363014,1
BZID-1304363017,8
BZID-1304363018,7
BZID-1304363023,1
BZID-1304363025,2
BZID-1304363026,1
BZID-1304363027,1
BZID-1304363028,1
BZID-1304363029,3
BZID-1304363031,3
BZID-1304363032,16
BZID-1304363033,2
BZID-1304363037,3
BZID-1304363038,1
BZID-1304363041,4
BZID-1304363043,1
BZID-1304363046,1
BZID-1304363049,5
BZID-1304363050,1
BZID-1304363052,6
BZID-1304363053,3
BZID-1304363059,1
BZID-1304363060,2
BZID-1304363066,2
BZID-1304363070,2
BZID-1304363071,3
BZID-1304363073,9
BZID-1304363074,1
BZID-1304363076,2
BZID-1304363077,13
BZID-1304363079,21
BZID-1304363083,3
BZID-1304363087,3
BZID-1304363090,2
BZID-1304363092,1
BZID-1304363094,9
BZID-1304363096,1
BZID-1304363100,1
BZID-1304363101,5
BZID-1304363102,2
BZID-1304363103,2
BZID-1304363107,5
BZID-1304363111,48
BZID-1304363112,1
BZID-1304363113,30
BZID-1304363118,1
BZID-1304363120,1
BZID-1304363121,1
BZID-1304363129,3
BZID-1304363130,14
BZID-1304363131,6
BZID-1304363135,9
BZID-1304363137,1
BZID-1304363143,1
BZID-1304363146,4
BZID-1304363148,10
BZID-1304363150,1
BZID-1304363151,1
BZID-1304363154,5
BZID-1304363156,6
BZID-1304363159,9
BZID-1304363171,12
BZID-1304363173,7
BZID-1304363175,1
BZID-1304363177,2
BZID-1304363179,1
BZID-1304363180,4
BZID-1304363181,2
BZID-1304363182,1
BZID-1304363184,5
BZID-1304363187,3
BZID-1304363188,1
BZID-1304363191,6
BZID-1304363194,11
BZID-1304363195,1
BZID-1304363197,2
BZID-1304363198,4
BZID-1304363202,1
BZID-1304363204,28
BZID-1304363206,1
BZID-1304363207,2
BZID-1304363219,3
BZID-1304363222,2
BZID-1304363223,2
BZID-1304363228,1
BZID-1304363229,1
BZID-1304363231,2
BZID-1304363232,2
BZID-1304363234,1
BZID-1304363238,1
BZID-1304363239,4
BZID-1304363244,2
BZID-1304363249,1
BZID-1304363250,1
BZID-1304363262,1
BZID-1304363263,2
BZID-1304363271,4
BZID-1304363279,23
BZID-1304363282,1
BZID-1304363297,2
BZID-1304363298,1
BZID-1304363303,1
BZID-1304363308,4
BZID-1304363310,2
BZID-1304363311,1
BZID-1304363314,1
BZID-1304363320,1
BZID-1304363321,6
BZID-1304363326,1
BZID-1304363327,47
BZID-1304363331,1
BZID-1304363332,1
BZID-1304363335,2
BZID-1304363380,1
BZID-1304363383,2
BZID-1304363389,1
BZID-1304363390,11
BZID-1304363395,1
BZID-1304363396,3
BZID-1304363397,2
BZID-1304363399,4
BZID-1304363402,3
BZID-1304363404,1
BZID-1304363407,2
BZID-1304363409,3
BZID-1304363410,3
BZID-1304363411,1
BZID-1304363412,3
BZID-1304363415,5
BZID-1304363417,5
BZID-1304363418,1
BZID-1304363421,13
BZID-1304363422,3
BZID-1304363425,1
BZID-1304363426,1
BZID-1304363428,1
BZID-1304363429,3
BZID-1304363432,2
BZID-1304363434,5
BZID-1304363436,41
BZID-1304363440,25
BZID-1304363443,1
BZID-1304363447,3
BZID-1304363448,22
BZID-1304363451,4
BZID-1304363452,7
BZID-1304363453,9
BZID-1304363454,7
BZID-1304363455,3
BZID-1304363456,11
BZID-1304363457,5
BZID-1304363459,8
BZID-1304363466,8
BZID-1304363467,1
BZID-1304363469,20
BZID-1304363471,18
BZID-1304363479,22
BZID-1304363480,1
BZID-1304363483,33
BZID-1304363485,1
BZID-1304363486,2
BZID-1304363489,1
BZID-1304363495,2
BZID-1304363498,1
BZID-1304363499,1
BZID-1304363500,2
BZID-1304363502,1
BZID-1304363506,4
BZID-1304363509,1
BZID-1304363512,1
BZID-1304363521,4
BZID-1304363524,1
BZID-1304363526,14
BZID-1304363528,1
BZID-1304363530,10
BZID-1304363531,3
BZID-1304363533,2
BZID-1304363535,3
BZID-1304363543,7
BZID-1304363546,2
BZID-1304363547,1
BZID-1304363549,9
BZID-1304363550,25
BZID-1304363551,1
BZID-1304363557,7
BZID-1304363563,5
BZID-1304363566,1
BZID-1304363567,4
BZID-1304363568,1
BZID-1304363572,10
BZID-1304363573,1
BZID-1304363576,1
BZID-1304363583,1
BZID-1304363586,4
BZID-1304363588,4
BZID-1304363590,22
BZID-1304363594,2
BZID-1304363595,3
BZID-1304363603,1
BZID-1304363605,3
BZID-1304363607,2
BZID-1304363610,6
BZID-1304363614,11
BZID-1304363619,17
BZID-1304363626,1
BZID-1304363627,2
BZID-1304363628,12
BZID-1304363630,7
BZID-1304363631,11
BZID-1304363633,8
BZID-1304363636,2
BZID-1304363638,5
BZID-1304363641,1
BZID-1304363643,5
BZID-1304363645,2
BZID-1304363646,1
BZID-1304363648,3
BZID-1304363649,4
BZID-1304363651,27
BZID-1304363653,4
BZID-1304363664,4
BZID-1304363668,1
BZID-1304363672,4
BZID-1304363679,1
BZID-1304363688,14
BZID-1304363689,1
BZID-1304363690,1
BZID-1304363691,2
BZID-1304363692,2
BZID-1304363695,11
BZID-1304363699,1
BZID-1304363700,3
BZID-1304363704,21
BZID-1304363706,4
BZID-1304363707,3
BZID-1304363708,3
BZID-1304363709,1
BZID-1304363710,1
BZID-1304363711,6
BZID-1304363714,1
BZID-1304363715,3
BZID-1304363718,3
BZID-1304363724,1
BZID-1304363725,1
BZID-1304363727,1
BZID-1304363734,1
BZID-1304363737,2
BZID-1304363742,1
BZID-1304363744,31
BZID-1304363745,3
BZID-1304363746,4
BZID-1304363752,1
BZID-1304363756,12
BZID-1304363762,2
BZID-1304363766,2
BZID-1304363768,25
BZID-1304363788,29
BZID-1304363789,8
BZID-1304363791,1
BZID-1304363796,7
BZID-1304363797,1
BZID-1304363809,1
BZID-1304363810,9
BZID-1304363811,3
BZID-1304363816,1
BZID-1304363819,4
BZID-1304363820,4
BZID-1304363822,1
BZID-1304363824,2
BZID-1304363828,1
BZID-1304363831,1
BZID-1304363832,15
BZID-1304363833,1
BZID-1304363835,3
BZID-1304363837,47
BZID-1304363838,13
BZID-1304363840,7
BZID-1304363841,2
BZID-1304363843,1
BZID-1304363844,1
BZID-1304363845,2
BZID-1304363848,2
BZID-1304363849,9
BZID-1304363851,1
BZID-1304363858,1
BZID-1304363859,13
BZID-1304363862,3
BZID-1304363866,2
BZID-1304363867,1
BZID-1304363870,1
BZID-1304363874,5
BZID-1304363875,2
BZID-1304363883,3
BZID-1304363884,1
BZID-1304363892,1
BZID-1304363893,16
BZID-1304363896,21
BZID-1304363899,3
BZID-1304363900,1
BZID-1304363903,1
BZID-1304363905,3
BZID-1304363909,6
BZID-1304363911,2
BZID-1304363912,5
BZID-1304363914,1
BZID-1304363915,1
BZID-1304363920,3
BZID-1304363927,1
BZID-1304363932,2
BZID-1304363936,5
BZID-1304363938,1
BZID-1304363940,4
BZID-1304363941,5
BZID-1304363943,1
BZID-1304363947,2
BZID-1304363948,1
BZID-1304363949,12
BZID-1304363953,3
BZID-1304363955,1
BZID-1304363957,1
BZID-1304363959,1
BZID-1304363961,1
BZID-1304363962,4
BZID-1304363963,6
BZID-1304363964,1
BZID-1304363968,1
BZID-1304363969,11
BZID-1304363974,4
BZID-1304363976,1
BZID-1304363979,3
BZID-1304363980,6
BZID-1304363982,8
BZID-1304363984,1
BZID-1304363988,1
BZID-1304363992,1
BZID-1304363997,2
BZID-1304363998,10
BZID-1304363999,22
BZID-1304364002,1
BZID-1304364003,1
BZID-1304364005,53
BZID-1304364007,2
BZID-1304364011,16
BZID-1304364012,6
BZID-1304364014,6
BZID-1304364016,2
BZID-1304364017,1
BZID-1304364019,15
BZID-1304364020,2
BZID-1304364024,5
BZID-1304364029,1
BZID-1304364030,1
BZID-1304364034,1
BZID-1304364035,2
BZID-1304364038,4
BZID-1304364040,2
BZID-1304364044,3
BZID-1304364046,2
BZID-1304364048,2
BZID-1304364052,1
BZID-1304364053,1
BZID-1304364056,1
BZID-1304364057,3
BZID-1304364060,4
BZID-1304364066,19
BZID-1304364069,7
BZID-1304364075,3
BZID-1304364076,4
BZID-1304364077,1
BZID-1304364078,4
BZID-1304364080,1
BZID-1304364081,2
BZID-1304364087,5
BZID-1304364090,1
BZID-1304364103,1
BZID-1304364108,1
BZID-1304364109,7
BZID-1304364110,13
BZID-1304364113,3
BZID-1304364118,3
BZID-1304364119,5
BZID-1304364121,1
BZID-1304364122,2
BZID-1304364123,2
BZID-1304364125,6
BZID-1304364134,1
BZID-1304364137,3
BZID-1304364138,1
BZID-1304364140,1
BZID-1304364142,5
BZID-1304364143,2
BZID-1304364145,3
BZID-1304364153,1
BZID-1304364155,1
BZID-1304364156,3
BZID-1304364159,2
BZID-1304364161,3
BZID-1304364162,3
BZID-1304364164,1
BZID-1304364166,3
BZID-1304364167,2
BZID-1304364169,3
BZID-1304364179,3
BZID-1304364184,4
BZID-1304364189,10
BZID-1304364190,3
BZID-1304364192,9
BZID-1304364196,1
BZID-1304364197,4
BZID-1304364198,1
BZID-1304364202,1
BZID-1304364204,7
BZID-1304364205,45
BZID-1304364206,8
BZID-1304364207,2
BZID-1304364209,3
BZID-1304364218,1
BZID-1304364219,27
BZID-1304364220,2
BZID-1304364223,6
BZID-1304364224,1
BZID-1304364225,1
BZID-1304364228,15
BZID-1304364231,3
BZID-1304364233,1
BZID-1304364235,1
BZID-1304364236,1
BZID-1304364237,14
BZID-1304364239,1
BZID-1304364241,2
BZID-1304364242,10
BZID-1304364244,21
BZID-1304364245,3
BZID-1304364248,1
BZID-1304364249,1
BZID-1304364251,4
BZID-1304364260,5
BZID-1304364268,3
BZID-1304364269,4
BZID-1304364275,5
BZID-1304364277,11
BZID-1304364278,1
BZID-1304364281,3
BZID-1304364284,9
BZID-1304364287,1
BZID-1304364293,2
BZID-1304364295,1
BZID-1304364304,4
BZID-1304364305,7
BZID-1304364309,3
BZID-1304364310,37
BZID-1304364319,2
BZID-1304364321,1
BZID-1304364328,23
BZID-1304364329,1
BZID-1304364331,3
BZID-1304364332,1
BZID-1304364336,5
BZID-1304364339,1
BZID-1304364341,1
BZID-1304364345,2
BZID-1304364346,4
BZID-1304364347,1
BZID-1304364348,1
BZID-1304364352,1
BZID-1304364353,3
BZID-1304364355,4
BZID-1304364357,1
BZID-1304364360,6
BZID-1304364361,2
BZID-1304364362,5
BZID-1304364363,8
BZID-1304364365,2
BZID-1304364369,1
BZID-1304364371,1
BZID-1304364373,2
BZID-1304364374,8
BZID-1304364375,4
BZID-1304364376,2
BZID-1304364378,2
BZID-1304364382,16
BZID-1304364383,12
BZID-1304364385,2
BZID-1304364390,5
BZID-1304364391,1
BZID-1304364395,8
BZID-1304364396,3
BZID-1304364398,2
BZID-1304364399,1
BZID-1304364400,3
BZID-1304364409,1
BZID-1304364414,1
BZID-1304364415,8
BZID-1304364420,1
BZID-1304364428,2
BZID-1304364432,2
BZID-1304364433,1
BZID-1304364434,1
BZID-1304364435,3
BZID-1304364437,5
BZID-1304364439,3
BZID-1304364441,3
BZID-1304364451,13
BZID-1304364455,1
BZID-1304364457,2
BZID-1304364458,1
BZID-1304364459,2
BZID-1304364460,3
BZID-1304364462,10
BZID-1304364467,22
BZID-1304364468,2
BZID-1304364469,4
BZID-1304364475,3
BZID-1304364477,1
BZID-1304364479,5
BZID-1304364480,3
BZID-1304364490,2
BZID-1304364495,1
BZID-1304364503,8
BZID-1304364509,17
BZID-1304364510,3
BZID-1304364511,4
BZID-1304364516,8
BZID-1304364519,1
BZID-1304364520,1
BZID-1304364531,33
BZID-1304364532,1
BZID-1304364533,1
BZID-1304364538,2
BZID-1304364539,2
BZID-1304364542,2
BZID-1304364547,1
BZID-1304364548,1
BZID-1304364552,60
BZID-1304364558,2
BZID-1304364560,10
BZID-1304364563,2
BZID-1304364564,6
BZID-1304364566,44
BZID-1304364568,2
BZID-1304364569,3
BZID-1304364572,4
BZID-1304364575,1
BZID-1304364580,15
BZID-1304364588,5
BZID-1304364591,2
BZID-1304364594,3
BZID-1304364595,4
BZID-1304364596,12
BZID-1304364599,7
BZID-1304364600,1
BZID-1304364601,1
BZID-1304364603,9
BZID-1304364604,9
BZID-1304364606,2
BZID-1304364610,3
BZID-1304364612,8
BZID-1304364613,21
BZID-1304364618,1
BZID-1304364622,1
BZID-1304364623,10
BZID-1304364626,2
BZID-1304364630,15
BZID-1304364632,2
BZID-1304364638,2
BZID-1304364640,17
BZID-1304364642,4
BZID-1304364646,5
BZID-1304364647,2
BZID-1304364648,1
BZID-1304364653,1
BZID-1304364654,8
BZID-1304364655,1
BZID-1304364656,8
BZID-1304364659,4
BZID-1304364665,1
BZID-1304364667,1
BZID-1304364669,6
BZID-1304364670,14
BZID-1304364673,2
BZID-1304364675,2
BZID-1304364678,11
BZID-1304364679,1
BZID-1304364680,7
BZID-1304364681,15
BZID-1304364685,1
BZID-1304364692,18
BZID-1304364695,4
BZID-1304364696,1
BZID-1304364697,35
BZID-1304364698,3
BZID-1304364702,2
BZID-1304364703,1
BZID-1304364716,4
BZID-1304364718,1
BZID-1304364724,1
BZID-1304364726,1
BZID-1304364729,6
BZID-1304364731,1
BZID-1304364736,24
BZID-1304364737,4
BZID-1304364739,2
BZID-1304364740,26
BZID-1304364743,18
BZID-1304364745,8
BZID-1304364746,3
BZID-1304364747,42
BZID-1304364748,1
BZID-1304364754,4
BZID-1304364756,5
BZID-1304364757,1
BZID-1304364761,1
BZID-1304364762,18
BZID-1304364764,3
