businessid,rating_cnt,avg_rating
BZID-1304440628,4,5
BZID-1304355603,2,5
BZID-1304609253,5,5
BZID-1304431754,4,2
BZID-1304412020,63,3
BZID-1304423506,5,3
BZID-1304472026,17,5
BZID-1304400713,3,5
BZID-1304438231,85,4
BZID-1304444497,3,5
BZID-1304465446,30,5
BZID-1304414870,9,3
BZID-1304449704,2,5
BZID-1304395688,1,5
BZID-1304474311,3,5
BZID-1304385637,1,4
BZID-1304387500,1,4
BZID-1304387018,24,2
BZID-1304388243,3,3
BZID-1304376850,1,5
BZID-1304379495,1,5
BZID-1304381155,1,5
BZID-1304429841,27,5
BZID-1304366128,5,3
BZID-1304423117,7,5
BZID-1304371036,49,3
BZID-1304371908,3,4
BZID-1304361110,11,5
BZID-1304362391,13,5
BZID-1304366682,73,3
BZID-1304349511,1,5
BZID-1304360149,15,3
BZID-1304352447,3,4
BZID-1304604308,2,5
BZID-1304610759,1,5
BZID-1304394882,3,5
BZID-1304477814,5,5
BZID-1304419059,1,5
BZID-1304400624,1,5
BZID-1304413119,8,4
BZID-1304471396,5,5
BZID-1304459890,9,5
BZID-1304421879,41,5
BZID-1304428865,4,4
BZID-1304433978,3,2
BZID-1304476825,1,5
BZID-1304426992,11,4
BZID-1304466170,1,5
BZID-1304423080,3,4
BZID-1304413028,3,4
BZID-1304402926,1,5
BZID-1304415308,13,4
BZID-1304382446,6,3
BZID-1304393177,9,5
BZID-1304376024,13,3
BZID-1304379373,7,3
BZID-1304381195,7,5
BZID-1304410082,2,5
BZID-1304373252,4,5
BZID-1304372425,1,5
BZID-1304362986,13,5
BZID-1304350174,1,5
BZID-1304353096,17,3
BZID-1304356156,5,3
BZID-1304607155,14,3
BZID-1304356021,10,5
BZID-1304459895,7,5
BZID-1304469234,4,3
BZID-1304415683,100,3
BZID-1304430228,49,3
BZID-1304440150,15,3
BZID-1304440960,3,3
BZID-1304420407,5,3
BZID-1304461945,1,5
BZID-1304425793,77,4
BZID-1304476262,1,1
BZID-1304438446,6,4
BZID-1304479251,1,5
BZID-1304434969,1,4
BZID-1304480172,1,4
BZID-1304430396,151,4
BZID-1304474700,3,4
BZID-1304474037,3,4
BZID-1304432009,1,5
BZID-1304396196,98,5
BZID-1304375201,1,5
BZID-1304375480,1,5
BZID-1304402543,47,5
BZID-1304365978,5,5
BZID-1304368139,14,3
BZID-1304395552,8,5
BZID-1304352693,2,1
BZID-1304351759,4,4
BZID-1304356621,1,5
BZID-1304355597,1,5
BZID-1304606636,2,2
BZID-1304388322,35,5
BZID-1304598308,33,3
BZID-1304373634,5,3
BZID-1304459869,7,5
BZID-1304403769,3,5
BZID-1304413807,1,5
BZID-1304413322,6,5
BZID-1304446538,2,5
BZID-1304428161,3,5
BZID-1304414245,2,5
BZID-1304435098,74,5
BZID-1304421705,1,1
BZID-1304473327,9,2
BZID-1304470807,4,5
BZID-1304448991,13,5
BZID-1304432562,1,5
BZID-1304472538,74,5
BZID-1304446047,256,5
BZID-1304472446,49,5
BZID-1304478336,1,5
BZID-1304476451,5,3
BZID-1304478398,1,5
BZID-1304462644,2,3
BZID-1304374617,1,5
BZID-1304370677,2,5
BZID-1304361833,4,5
BZID-1304363720,5,3
BZID-1304364353,3,5
BZID-1304355560,1,5
BZID-1304380667,6,4
BZID-1304449473,17,5
BZID-1304399304,13,4
BZID-1304440555,5,3
BZID-1304421023,16,5
BZID-1304407252,49,5
BZID-1304447282,1,5
BZID-1304423712,1,5
BZID-1304424239,13,4
BZID-1304467208,8,5
BZID-1304431795,3,5
BZID-1304414693,2,5
BZID-1304401417,2,5
BZID-1304406359,1,5
BZID-1304392321,2,4
BZID-1304383536,15,5
BZID-1304384146,2,5
BZID-1304372261,1,1
BZID-1304391001,81,5
BZID-1304366431,1,5
BZID-1304392818,2,5
BZID-1304363417,12,4
BZID-1304363963,6,4
BZID-1304353181,1,1
BZID-1304351787,1,5
BZID-1304354586,1,5
BZID-1304609092,1,5
BZID-1304609195,1,1
BZID-1304607584,11,4
BZID-1304464641,1,5
BZID-1304424770,19,3
BZID-1304426996,5,3
BZID-1304466804,6,5
BZID-1304463987,1,3
BZID-1304417365,2,5
BZID-1304425239,4,4
BZID-1304455391,7,2
BZID-1304424660,7,2
BZID-1304401071,1,5
BZID-1304474362,1,5
BZID-1304462578,1,5
BZID-1304403242,5,5
BZID-1304399052,3,5
BZID-1304403669,2,3
BZID-1304394065,6,5
BZID-1304383741,15,3
BZID-1304389488,1,5
BZID-1304357383,1,5
BZID-1304360991,11,3
BZID-1304361741,2,5
BZID-1304356082,6,4
BZID-1304605304,1,5
BZID-1304389713,7,3
BZID-1304429362,1,4
BZID-1304398621,10,5
BZID-1304466416,2,5
BZID-1304458275,104,3
BZID-1304446015,3,5
BZID-1304398472,1,1
BZID-1304478754,1,5
BZID-1304424193,49,5
BZID-1304463287,14,2
BZID-1304415938,4,4
BZID-1304450656,2,1
BZID-1304424891,1,4
BZID-1304397186,5,3
BZID-1304385279,1,5
BZID-1304384740,1,4
BZID-1304387056,1,5
BZID-1304374509,19,5
BZID-1304378475,66,5
BZID-1304367579,25,5
BZID-1304361069,6,3
BZID-1304465239,10,3
BZID-1304361960,4,5
BZID-1304427391,3,2
BZID-1304361562,270,3
BZID-1304353173,2,5
BZID-1304350178,7,1
BZID-1304605624,15,3
BZID-1304453851,1,4
BZID-1304417842,1,3
BZID-1304436062,1,5
BZID-1304476371,2,5
BZID-1304456456,95,3
BZID-1304469441,1,5
BZID-1304473617,11,5
BZID-1304470320,3,5
BZID-1304464513,32,4
BZID-1304431276,1,1
BZID-1304400197,83,5
BZID-1304416983,2,4
BZID-1304428840,5,3
BZID-1304464816,1,5
BZID-1304404950,5,2
BZID-1304405501,3,5
BZID-1304386069,32,2
BZID-1304380533,4,5
BZID-1304380022,1,5
BZID-1304404579,10,5
BZID-1304362041,6,3
BZID-1304365222,1,5
BZID-1304349621,1,5
BZID-1304352701,8,4
BZID-1304606827,6,4
BZID-1304372181,20,3
BZID-1304445576,8,5
BZID-1304406728,1,5
BZID-1304475026,6,5
BZID-1304463543,3,5
BZID-1304430231,17,5
BZID-1304451440,5,3
BZID-1304448074,3,4
BZID-1304430110,2,5
BZID-1304405970,3,5
BZID-1304405040,5,4
BZID-1304391908,1,5
BZID-1304393600,3,2
BZID-1304394049,1,5
BZID-1304382878,1,5
BZID-1304388828,35,2
BZID-1304375512,1,5
BZID-1304373920,1,5
