businessid,prev_max_order_dt,prev_total_orders,prev_distinct_order_dates
BZID-1304600546,,0,0
BZID-1304434862,,0,0
BZID-1304420522,,0,0
BZID-1304440921,,0,0
BZID-1304610624,,0,0
BZID-1304388693,,0,0
BZID-1304355196,,0,0
BZID-1304365121,,0,0
BZID-1304390709,,0,0
BZID-1304392924,,0,0
BZID-1304464276,,0,0
BZID-1304477666,,0,0
BZID-1304428997,,0,0
BZID-1304448919,,0,0
BZID-1304393382,,0,0
BZID-1304444583,,0,0
BZID-1304423713,,0,0
BZID-1304409197,,0,0
BZID-1304397586,,0,0
BZID-1304363127,,0,0
BZID-1304372773,,0,0
BZID-1304455453,,0,0
BZID-1304610655,,0,0
BZID-1304368216,,0,0
BZID-1304603352,,0,0
BZID-1304409657,,0,0
BZID-1304432235,,0,0
BZID-1304446022,,0,0
BZID-1304412194,,0,0
BZID-1304607506,,0,0
BZID-1304453874,,0,0
BZID-1304432849,,0,0
BZID-1304404076,,0,0
BZID-1304433907,,0,0
BZID-1304398781,,0,0
BZID-1304351740,,0,0
BZID-1304358797,2021-10-21,3,2
BZID-1304366150,2021-10-04,1,1
BZID-1304462252,2020-01-28,16,11
BZID-1304421924,2021-12-16,4,2
BZID-1304416729,2021-10-02,2,2
BZID-1304439894,2020-08-25,4,3
BZID-1304603342,2021-12-09,6,4
BZID-1304436825,2021-01-29,1,1
BZID-1304355394,2021-12-12,2,1
BZID-1304375094,2021-12-10,2,1
BZID-1304436446,2021-02-12,2,2
BZID-1304469118,2018-07-14,1,1
BZID-1304435356,2021-01-23,8,2
BZID-1304392766,2021-08-26,1,1
BZID-1304479784,2018-05-24,6,5
BZID-1304606253,2021-11-24,1,1
BZID-1304600380,2021-12-18,2,1
BZID-1304403517,2021-10-19,3,3
BZID-1304414361,2021-08-04,1,1
BZID-1304422567,2021-12-01,9,8
BZID-1304463907,2020-05-18,1,1
BZID-1304439379,2020-11-03,5,5
BZID-1304450360,2020-09-15,10,8
BZID-1304352250,2021-12-03,2,2
BZID-1304432759,2020-11-30,2,2
BZID-1304411910,2021-10-01,1,1
BZID-1304403211,2021-12-12,5,3
BZID-1304418535,2021-12-08,1,1
BZID-1304418891,2021-10-05,2,2
BZID-1304404361,2021-08-31,2,2
BZID-1304397114,2021-09-02,1,1
BZID-1304445638,2020-10-17,2,2
BZID-1304442882,2020-07-30,1,1
BZID-1304456522,2019-07-29,2,2
BZID-1304442933,2020-08-11,1,1
BZID-1304353405,2021-12-12,5,3
BZID-1304603529,2021-12-18,2,1
BZID-1304425329,2021-09-22,1,1
BZID-1304395327,2021-08-27,1,1
BZID-1304421016,2021-11-10,7,7
BZID-1304408712,2021-08-07,1,1
BZID-1304471418,2021-08-30,9,8
BZID-1304462629,2020-01-09,1,1
BZID-1304462035,2020-01-18,4,2
BZID-1304404289,2021-08-13,1,1
BZID-1304470513,2018-11-29,2,2
BZID-1304358146,2021-11-26,2,2
BZID-1304412852,2021-09-11,2,2
BZID-1304403226,2021-11-18,6,5
BZID-1304610799,2021-12-06,5,2
BZID-1304404107,2021-11-30,15,13
BZID-1304406120,2021-11-04,4,4
BZID-1304376576,2021-11-24,3,3
BZID-1304440477,2020-06-19,1,1
BZID-1304419992,2021-09-02,2,2
BZID-1304408787,2021-10-18,3,3
BZID-1304400877,2021-08-12,1,1
BZID-1304443363,2020-07-19,1,1
BZID-1304462890,2019-10-26,3,3
BZID-1304417993,2021-08-20,5,2
BZID-1304402362,2021-08-12,2,1
BZID-1304604614,2021-11-22,5,2
BZID-1304459621,2019-04-25,5,3
BZID-1304420369,2021-09-13,1,1
BZID-1304362330,2021-10-25,1,1
BZID-1304373970,2021-11-18,1,1
BZID-1304411287,2021-08-02,1,1
BZID-1304403730,2021-10-21,1,1
BZID-1304363551,2021-10-28,1,1
BZID-1304604510,2021-12-17,7,4
BZID-1304451482,2020-06-16,3,3
BZID-1304436938,2021-04-19,1,1
BZID-1304386792,2021-12-11,2,1
BZID-1304420415,2021-07-09,2,1
BZID-1304350326,2021-11-02,2,1
BZID-1304350491,2021-12-11,2,2
BZID-1304351459,2021-11-13,1,1
BZID-1304611031,2021-12-08,2,2
BZID-1304479355,2019-03-30,1,1
BZID-1304387612,2021-09-11,1,1
BZID-1304429582,2021-12-09,6,6
BZID-1304466268,2018-05-01,3,2
BZID-1304422724,2021-07-20,1,1
BZID-1304448256,2021-11-22,4,4
BZID-1304448322,2020-02-14,1,1
BZID-1304475036,2017-10-08,4,2
BZID-1304378123,2021-09-24,2,1
BZID-1304350942,2021-11-01,1,1
BZID-1304456854,2018-12-21,2,2
BZID-1304417918,2021-06-29,1,1
BZID-1304438295,2021-03-05,3,3
BZID-1304437173,2021-01-12,1,1
BZID-1304436089,2021-01-28,2,2
BZID-1304435549,2021-03-03,4,4
BZID-1304436814,2021-01-27,3,3
BZID-1304435416,2021-01-28,2,2
BZID-1304417983,2021-06-30,1,1
BZID-1304414954,2021-12-16,8,7
BZID-1304391301,2021-12-18,2,2
BZID-1304373268,2021-10-11,2,1
BZID-1304397092,2021-10-03,1,1
BZID-1304459294,2019-09-04,9,6
BZID-1304472339,2017-05-16,2,2
BZID-1304470170,2018-12-04,2,1
BZID-1304364027,2021-12-17,5,3
BZID-1304385782,2021-10-25,4,4
BZID-1304606185,2021-11-27,1,1
BZID-1304393938,2021-09-18,4,3
BZID-1304440191,2020-06-27,1,1
BZID-1304440299,2020-08-17,3,3
BZID-1304438447,2021-04-20,10,9
BZID-1304446050,2020-10-27,2,2
BZID-1304424746,2021-03-08,1,1
BZID-1304442856,2020-07-07,1,1
BZID-1304374265,2021-11-05,1,1
BZID-1304356327,2021-12-15,13,9
BZID-1304382058,2021-09-19,2,1
BZID-1304390158,2021-10-20,5,3
BZID-1304608218,2021-12-02,1,1
BZID-1304391747,2021-12-05,2,2
BZID-1304398754,2021-12-04,2,2
BZID-1304352841,2021-11-29,2,2
BZID-1304357555,2021-10-17,1,1
BZID-1304609374,2021-12-15,2,2
BZID-1304454899,2020-12-15,11,3
BZID-1304431492,2020-11-26,2,2
BZID-1304349627,2021-12-04,6,5
BZID-1304438671,2021-04-09,1,1
BZID-1304445168,2020-08-17,1,1
BZID-1304450333,2020-06-27,3,2
BZID-1304445541,2020-10-01,1,1
BZID-1304446904,2020-11-19,2,2
BZID-1304431383,2020-11-18,1,1
BZID-1304366083,2021-10-31,1,1
BZID-1304422869,2021-07-15,1,1
BZID-1304392185,2021-12-18,9,7
BZID-1304383566,2021-09-04,2,1
BZID-1304400063,2021-08-07,1,1
BZID-1304404578,2021-08-18,1,1
BZID-1304392697,2021-08-25,2,1
BZID-1304386029,2021-09-07,1,1
BZID-1304388459,2021-09-15,1,1
BZID-1304376498,2021-10-02,2,2
BZID-1304420274,2021-12-10,2,2
BZID-1304451099,2021-11-24,9,9
BZID-1304394290,2021-12-09,15,5
BZID-1304438088,2021-04-08,4,4
BZID-1304435147,2020-12-15,1,1
BZID-1304449457,2020-03-07,4,4
BZID-1304456478,2019-06-08,1,1
BZID-1304608627,2021-12-11,2,2
BZID-1304434153,2021-09-23,3,1
BZID-1304609181,2021-11-30,1,1
BZID-1304457393,2018-12-26,1,1
BZID-1304598156,2021-12-17,4,4
BZID-1304598262,2021-12-15,1,1
BZID-1304594960,2021-12-11,1,1
BZID-1304394531,2021-10-01,3,2
BZID-1304412532,2021-12-07,4,4
BZID-1304412885,2021-08-12,1,1
BZID-1304603220,2021-12-15,1,1
BZID-1304350894,2021-11-06,2,2
BZID-1304450601,2021-07-22,4,2
BZID-1304398300,2021-12-01,1,1
BZID-1304426338,2021-12-13,2,2
BZID-1304456249,2019-02-01,1,1
BZID-1304424480,2021-12-17,5,5
BZID-1304397752,2021-12-13,8,6
BZID-1304475590,2018-01-02,1,1
BZID-1304469131,2018-08-29,2,1
BZID-1304604610,2021-11-19,1,1
BZID-1304451359,2020-03-07,1,1
BZID-1304407996,2021-11-03,1,1
BZID-1304450002,2020-05-30,1,1
BZID-1304606544,2021-11-24,1,1
BZID-1304381663,2021-12-18,6,6
BZID-1304356258,2021-12-18,9,9
BZID-1304597708,2021-12-18,1,1
BZID-1304608240,2021-12-02,1,1
BZID-1304456945,2019-03-15,2,2
BZID-1304452708,2021-12-15,8,5
BZID-1304480208,2018-04-28,5,3
BZID-1304404448,2021-08-17,2,2
BZID-1304393969,2021-08-30,1,1
BZID-1304598384,2021-12-16,2,2
BZID-1304371782,2021-11-01,1,1
BZID-1304609085,2021-12-06,5,2
BZID-1304381864,2021-09-28,2,1
BZID-1304350376,2021-10-31,1,1
BZID-1304444096,2020-11-16,3,2
BZID-1304467814,2020-08-28,1,1
BZID-1304442768,2020-07-08,1,1
BZID-1304473074,2018-09-25,3,2
BZID-1304392130,2021-12-11,4,4
BZID-1304402550,2021-09-22,1,1
BZID-1304370467,2021-10-11,2,2
BZID-1304362533,2021-10-22,1,1
BZID-1304604837,2021-11-22,1,1
BZID-1304359094,2021-11-12,1,1
BZID-1304411891,2021-10-07,2,1
BZID-1304357995,2021-10-18,3,1
BZID-1304385635,2021-09-07,1,1
BZID-1304405405,2021-11-23,2,2
BZID-1304397711,2021-09-28,2,2
BZID-1304353553,2021-11-13,1,1
BZID-1304354968,2021-12-18,5,5
BZID-1304390602,2021-09-05,5,3
BZID-1304392743,2021-10-08,4,4
BZID-1304446278,2020-11-04,1,1
BZID-1304369988,2021-12-07,2,2
BZID-1304388672,2021-10-21,3,3
BZID-1304363850,2021-10-27,1,1
BZID-1304360471,2021-10-19,4,1
BZID-1304391149,2021-12-12,2,2
BZID-1304470846,2019-08-10,15,13
BZID-1304478524,2017-12-09,1,1
BZID-1304597044,2021-12-16,1,1
BZID-1304378139,2021-12-09,5,3
BZID-1304355554,2021-12-18,4,4
BZID-1304595114,2021-12-11,1,1
BZID-1304462920,2020-11-17,5,4
BZID-1304420387,2021-11-16,5,5
BZID-1304409525,2021-10-20,20,5
BZID-1304401432,2021-09-25,4,3
BZID-1304595206,2021-12-16,1,1
BZID-1304609457,2021-12-16,5,5
BZID-1304442794,2020-07-08,1,1
BZID-1304460630,2020-03-06,3,3
BZID-1304421199,2021-11-12,36,13
BZID-1304595182,2021-12-18,2,1
BZID-1304458639,2019-04-20,1,1
BZID-1304461122,2019-05-02,1,1
BZID-1304390727,2021-08-30,2,2
BZID-1304595707,2021-12-14,2,2
BZID-1304469466,2018-06-16,1,1
BZID-1304447799,2020-02-08,1,1
BZID-1304447627,2020-03-03,2,2
BZID-1304448178,2020-02-27,7,2
BZID-1304474585,2017-07-06,1,1
BZID-1304438561,2021-12-18,9,9
BZID-1304376765,2021-12-16,11,9
BZID-1304398680,2021-10-14,2,2
BZID-1304413387,2021-08-08,1,1
BZID-1304419482,2021-11-30,8,8
BZID-1304465823,2018-11-08,3,3
BZID-1304389536,2021-09-14,2,1
BZID-1304435400,2021-04-24,5,5
BZID-1304430418,2021-06-21,1,1
BZID-1304408992,2021-07-27,1,1
BZID-1304457217,2019-04-28,6,4
BZID-1304365541,2021-10-27,2,1
BZID-1304386852,2021-11-23,1,1
BZID-1304424021,2021-03-03,1,1
BZID-1304415664,2021-09-23,2,2
BZID-1304398882,2021-08-09,1,1
BZID-1304424855,2021-11-24,3,3
BZID-1304377361,2021-12-06,3,3
BZID-1304360872,2021-11-06,1,1
BZID-1304361035,2021-12-09,4,3
BZID-1304421913,2021-09-08,1,1
BZID-1304359478,2021-10-21,1,1
BZID-1304399477,2021-10-05,1,1
BZID-1304429754,2021-06-16,1,1
BZID-1304400733,2021-08-23,1,1
BZID-1304396037,2021-08-27,1,1
BZID-1304415682,2021-10-07,1,1
BZID-1304606292,2021-11-24,2,1
BZID-1304608757,2021-11-29,1,1
BZID-1304413290,2021-10-25,6,5
BZID-1304387784,2021-09-11,1,1
BZID-1304379914,2021-10-21,6,3
BZID-1304376950,2021-09-20,1,1
BZID-1304442496,2021-06-19,2,2
BZID-1304357026,2021-11-17,1,1
BZID-1304403215,2021-09-28,2,1
BZID-1304353156,2021-11-12,2,2
BZID-1304352197,2021-11-10,1,1
BZID-1304375766,2021-09-17,1,1
BZID-1304374083,2021-09-17,1,1
BZID-1304362767,2021-10-22,1,1
BZID-1304369236,2021-10-04,3,1
BZID-1304410949,2021-07-30,1,1
BZID-1304422191,2021-07-14,2,2
BZID-1304606713,2021-11-24,1,1
BZID-1304439332,2021-03-19,1,1
BZID-1304399863,2021-08-16,4,3
BZID-1304604282,2021-12-16,6,3
BZID-1304378647,2021-10-05,3,3
BZID-1304421282,2021-08-25,9,7
BZID-1304455690,2019-01-05,1,1
BZID-1304463383,2020-03-28,2,2
BZID-1304372237,2021-10-13,1,1
BZID-1304350404,2021-10-30,1,1
BZID-1304356488,2021-11-16,2,1
BZID-1304426945,2021-07-01,2,2
BZID-1304457762,2019-04-14,4,2
BZID-1304382986,2021-11-20,2,2
BZID-1304439206,2021-02-25,2,2
BZID-1304457605,2019-03-27,2,2
BZID-1304459732,2019-04-16,1,1
BZID-1304365635,2021-12-15,2,2
BZID-1304412508,2021-07-29,1,1
BZID-1304406817,2021-09-19,2,2
BZID-1304429927,2021-12-11,3,2
BZID-1304596326,2021-12-08,1,1
BZID-1304400853,2021-11-30,2,2
BZID-1304429718,2021-10-09,1,1
BZID-1304384554,2021-10-25,2,2
BZID-1304596706,2021-12-12,2,2
BZID-1304410643,2021-07-31,1,1
BZID-1304373556,2021-10-11,1,1
BZID-1304374472,2021-09-20,1,1
BZID-1304370319,2021-12-05,4,3
BZID-1304415889,2021-09-22,3,3
BZID-1304396425,2021-09-02,1,1
BZID-1304444068,2020-10-01,3,3
BZID-1304404109,2021-08-27,1,1
BZID-1304355017,2021-12-07,1,1
BZID-1304473520,2020-11-23,2,2
BZID-1304401043,2021-09-17,2,1
BZID-1304382966,2021-12-10,2,2
BZID-1304471496,2020-09-04,5,4
BZID-1304464828,2018-03-19,1,1
BZID-1304352798,2021-11-08,1,1
BZID-1304597971,2021-12-18,2,2
BZID-1304597100,2021-12-16,1,1
BZID-1304596709,2021-12-15,1,1
BZID-1304390380,2021-11-13,2,2
BZID-1304379336,2021-11-28,1,1
BZID-1304603326,2021-12-10,2,2
BZID-1304418302,2021-12-02,6,5
BZID-1304606793,2021-11-25,1,1
BZID-1304607193,2021-11-25,1,1
BZID-1304406879,2021-12-02,2,2
BZID-1304408538,2021-08-29,1,1
BZID-1304387020,2021-11-15,4,3
BZID-1304393648,2021-11-07,4,3
BZID-1304603877,2021-12-18,2,1
BZID-1304395377,2021-12-01,1,1
BZID-1304410466,2021-08-20,3,2
BZID-1304435444,2021-11-06,21,9
BZID-1304416251,2021-08-31,1,1
BZID-1304422443,2021-10-08,2,1
BZID-1304360216,2021-10-21,1,1
BZID-1304603808,2021-11-24,2,1
BZID-1304444921,2020-08-05,1,1
BZID-1304432439,2020-10-26,1,1
BZID-1304400628,2021-11-09,3,2
BZID-1304429620,2021-07-05,5,4
BZID-1304476783,2018-01-03,2,2
BZID-1304409623,2021-08-27,5,4
BZID-1304400206,2021-11-11,1,1
BZID-1304414255,2021-12-13,2,2
BZID-1304456561,2019-01-22,1,1
BZID-1304431960,2020-11-25,1,1
BZID-1304609621,2021-12-06,1,1
BZID-1304424189,2021-03-05,1,1
BZID-1304598122,2021-12-14,1,1
BZID-1304413079,2021-08-27,3,1
BZID-1304447844,2020-03-13,3,3
BZID-1304382716,2021-10-29,6,6
BZID-1304391794,2021-09-16,2,2
BZID-1304384891,2021-10-23,2,2
BZID-1304368413,2021-12-16,40,31
BZID-1304609215,2021-12-03,4,2
BZID-1304382171,2021-12-17,40,24
BZID-1304354404,2021-12-14,13,6
BZID-1304393284,2021-12-12,23,20
BZID-1304608738,2021-11-29,1,1
BZID-1304372853,2021-10-18,8,6
BZID-1304603792,2021-12-15,5,5
BZID-1304352647,2021-12-11,10,8
BZID-1304353693,2021-12-13,3,3
BZID-1304365042,2021-12-16,6,5
BZID-1304362949,2021-10-23,1,1
BZID-1304412616,2021-12-13,4,2
BZID-1304358779,2021-10-31,5,3
BZID-1304610300,2021-12-12,4,2
BZID-1304606896,2021-11-26,1,1
BZID-1304400250,2021-12-15,6,5
BZID-1304406890,2021-12-18,2,2
BZID-1304361593,2021-10-29,1,1
BZID-1304610336,2021-12-15,4,4
BZID-1304596214,2021-12-09,2,1
BZID-1304395092,2021-08-30,1,1
BZID-1304396279,2021-08-27,1,1
BZID-1304432038,2021-03-08,9,8
BZID-1304447079,2020-09-18,1,1
BZID-1304432764,2021-03-29,15,14
BZID-1304441731,2020-12-14,7,7
BZID-1304446478,2021-08-13,21,20
BZID-1304441516,2021-06-19,2,2
BZID-1304391686,2021-12-04,9,7
BZID-1304419010,2021-12-18,55,50
BZID-1304388293,2021-12-07,13,12
BZID-1304458850,2019-05-24,16,8
BZID-1304396372,2021-12-01,4,4
BZID-1304351816,2021-12-13,7,3
BZID-1304429129,2021-11-11,4,2
BZID-1304363175,2021-12-09,12,9
BZID-1304367806,2021-12-14,50,34
BZID-1304598672,2021-12-15,1,1
BZID-1304420242,2021-10-24,8,7
BZID-1304368851,2021-11-28,7,5
BZID-1304405088,2021-12-12,26,17
BZID-1304368403,2021-12-15,17,16
BZID-1304400307,2021-12-14,30,22
BZID-1304410232,2021-12-10,3,3
BZID-1304393213,2021-09-05,4,4
BZID-1304416796,2021-12-15,13,10
BZID-1304393173,2021-12-16,11,8
BZID-1304413975,2021-12-15,7,6
BZID-1304434346,2020-12-12,1,1
BZID-1304405092,2021-12-13,9,8
BZID-1304381112,2021-12-15,7,6
BZID-1304479001,2021-01-31,209,91
BZID-1304442762,2020-11-15,132,52
BZID-1304464507,2018-06-03,19,6
BZID-1304462109,2020-03-08,13,11
BZID-1304458157,2021-11-24,182,119
BZID-1304410741,2021-07-30,1,1
BZID-1304450707,2021-12-16,29,18
BZID-1304417474,2021-12-14,144,72
BZID-1304365099,2021-12-14,17,13
BZID-1304604075,2021-12-17,12,8
BZID-1304595014,2021-12-11,1,1
BZID-1304604053,2021-12-16,16,11
BZID-1304364451,2021-12-18,19,12
BZID-1304451033,2020-03-20,2,1
BZID-1304406069,2021-12-18,55,37
BZID-1304448595,2020-04-04,20,15
BZID-1304449222,2021-09-11,8,2
BZID-1304459990,2021-06-27,70,26
BZID-1304475585,2017-03-28,56,20
BZID-1304426946,2021-09-21,5,3
BZID-1304473000,2019-02-09,9,9
BZID-1304443519,2021-07-07,1,1
BZID-1304422016,2021-07-26,3,3
BZID-1304473883,2017-06-26,11,6
BZID-1304376590,2021-11-15,6,6
BZID-1304357610,2021-12-16,21,14
BZID-1304421860,2021-07-31,4,4
BZID-1304460473,2021-08-14,26,21
BZID-1304438990,2021-04-23,11,4
BZID-1304436963,2021-09-11,5,5
BZID-1304437817,2021-12-02,22,20
BZID-1304467622,2020-07-25,40,27
BZID-1304449729,2021-07-26,18,16
BZID-1304373447,2021-12-17,32,17
BZID-1304387168,2021-12-09,31,18
BZID-1304400598,2021-10-06,3,3
BZID-1304400524,2021-12-16,21,16
BZID-1304416047,2021-12-06,48,42
BZID-1304391792,2021-11-13,20,19
BZID-1304385321,2021-12-16,241,59
BZID-1304386528,2021-09-11,1,1
BZID-1304471857,2020-09-09,3,3
BZID-1304373246,2021-12-10,6,5
BZID-1304434301,2021-12-13,50,40
BZID-1304464952,2021-05-08,100,51
BZID-1304420250,2021-12-11,78,26
BZID-1304447739,2021-08-21,1,1
BZID-1304477293,2017-09-07,13,2
BZID-1304374722,2021-11-24,3,3
BZID-1304416911,2021-12-15,23,15
BZID-1304372272,2021-12-18,14,14
BZID-1304388107,2021-12-14,11,11
BZID-1304428558,2021-12-18,31,22
BZID-1304470908,2020-10-02,30,30
BZID-1304458746,2021-12-16,32,26
BZID-1304461761,2020-03-08,28,21
BZID-1304461812,2020-04-05,10,9
BZID-1304459245,2020-01-29,30,22
BZID-1304441042,2020-11-02,40,12
BZID-1304596145,2021-12-14,2,2
BZID-1304361248,2021-12-13,16,10
BZID-1304368763,2021-12-17,9,8
BZID-1304460564,2021-09-20,13,12
BZID-1304458767,2021-03-25,18,13
BZID-1304383130,2021-11-16,3,3
BZID-1304414666,2021-12-18,53,34
BZID-1304596150,2021-12-17,8,7
BZID-1304390739,2021-08-23,1,1
BZID-1304412636,2021-12-17,10,9
BZID-1304410145,2021-11-06,9,5
BZID-1304388427,2021-10-12,1,1
BZID-1304368152,2021-11-29,8,8
BZID-1304595148,2021-12-18,4,4
BZID-1304396855,2021-10-23,8,8
BZID-1304376035,2021-11-21,6,6
BZID-1304479696,2019-03-01,11,10
BZID-1304465061,2018-02-25,11,6
BZID-1304428603,2021-10-28,12,12
BZID-1304383459,2021-12-16,15,14
BZID-1304475854,2017-12-28,1,1
BZID-1304397916,2021-11-24,1,1
BZID-1304414738,2021-12-18,25,13
BZID-1304399978,2021-12-16,4,4
BZID-1304596636,2021-12-10,1,1
BZID-1304608824,2021-12-08,5,3
BZID-1304447728,2021-10-13,123,49
BZID-1304607210,2021-12-18,14,9
BZID-1304446428,2020-10-20,5,3
BZID-1304477321,2020-09-14,68,43
BZID-1304596718,2021-12-18,8,5
BZID-1304596364,2021-12-13,2,2
BZID-1304459630,2020-07-02,189,128
BZID-1304457261,2019-04-19,33,27
BZID-1304423104,2021-10-17,5,4
BZID-1304455983,2021-12-14,9,8
BZID-1304468669,2020-05-13,41,23
BZID-1304365452,2021-10-28,2,2
BZID-1304430675,2021-12-16,76,17
BZID-1304459225,2021-12-17,47,40
BZID-1304448341,2021-09-15,9,7
BZID-1304399871,2021-12-17,21,19
BZID-1304436646,2021-12-14,44,39
BZID-1304475731,2017-09-16,32,17
BZID-1304462806,2021-12-17,68,53
BZID-1304449337,2020-03-11,5,5
BZID-1304457981,2020-03-17,3,3
BZID-1304458547,2021-11-17,15,12
BZID-1304448679,2020-02-22,5,4
BZID-1304449495,2021-09-14,3,2
BZID-1304400428,2021-09-03,6,4
BZID-1304462541,2020-01-18,4,3
BZID-1304450699,2020-03-04,5,1
BZID-1304461771,2020-03-21,28,13
BZID-1304448956,2020-02-19,4,2
BZID-1304457922,2021-09-22,12,9
BZID-1304462616,2021-09-28,2,2
BZID-1304436387,2021-08-26,3,3
BZID-1304449211,2020-03-13,7,4
BZID-1304418945,2021-12-17,2,2
BZID-1304400899,2021-09-22,2,1
BZID-1304425375,2021-09-20,5,4
BZID-1304389029,2021-12-18,9,8
BZID-1304413993,2021-10-15,2,2
BZID-1304390110,2021-12-16,28,24
BZID-1304392609,2021-12-05,66,29
BZID-1304374859,2021-10-11,5,5
BZID-1304408201,2021-12-11,21,18
BZID-1304392198,2021-12-13,13,12
BZID-1304428350,2021-12-15,23,17
BZID-1304431862,2021-11-18,22,16
BZID-1304460634,2021-01-31,10,9
BZID-1304399807,2021-12-13,4,4
BZID-1304402151,2021-12-18,12,12
BZID-1304361850,2021-12-16,33,18
BZID-1304418574,2021-12-14,34,32
BZID-1304397260,2021-12-12,21,18
BZID-1304400817,2021-08-31,2,2
BZID-1304449714,2021-04-19,2,2
BZID-1304356127,2021-12-13,5,5
BZID-1304400205,2021-12-16,4,4
BZID-1304399705,2021-10-11,4,4
BZID-1304385233,2021-12-17,42,35
BZID-1304463854,2021-06-25,67,52
BZID-1304383132,2021-12-13,9,8
BZID-1304427630,2021-10-11,2,2
BZID-1304385048,2021-12-10,14,14
BZID-1304430627,2021-10-11,2,2
BZID-1304436141,2021-12-09,35,17
BZID-1304400788,2021-12-01,8,4
BZID-1304358830,2021-12-17,12,12
BZID-1304421014,2021-07-17,1,1
BZID-1304374309,2021-10-16,6,6
BZID-1304356411,2021-12-07,3,3
BZID-1304609933,2021-12-08,1,1
BZID-1304398267,2021-11-23,11,6
BZID-1304415475,2021-11-30,16,6
BZID-1304416703,2021-12-04,4,4
BZID-1304409584,2021-07-28,2,1
BZID-1304379051,2021-10-11,34,6
BZID-1304465623,2021-12-10,99,88
BZID-1304447486,2021-12-03,14,13
BZID-1304434881,2021-12-15,36,35
BZID-1304432864,2021-02-11,7,7
BZID-1304402547,2021-10-08,4,4
BZID-1304480010,2021-11-08,7,5
BZID-1304425737,2021-07-08,4,4
BZID-1304407394,2021-12-16,9,9
BZID-1304414114,2021-11-22,8,8
BZID-1304359178,2021-12-10,6,5
BZID-1304396909,2021-12-06,14,9
BZID-1304418680,2021-11-15,33,23
BZID-1304425236,2021-12-12,18,15
BZID-1304464940,2021-08-14,20,20
BZID-1304458333,2020-06-25,35,28
BZID-1304440899,2021-09-20,2,2
BZID-1304463349,2021-11-29,12,10
BZID-1304409651,2021-07-25,6,2
BZID-1304374586,2021-12-17,14,13
BZID-1304386056,2021-11-02,1,1
BZID-1304392940,2021-12-17,37,28
BZID-1304379835,2021-12-03,2,2
BZID-1304422706,2021-12-16,12,12
BZID-1304420378,2021-12-14,47,37
BZID-1304361782,2021-12-02,6,5
BZID-1304414383,2021-09-24,10,5
BZID-1304408585,2021-07-27,1,1
BZID-1304431025,2021-12-17,17,16
BZID-1304364265,2021-10-29,1,1
BZID-1304410649,2021-11-29,4,4
BZID-1304412552,2021-11-11,4,4
BZID-1304380532,2021-12-16,21,19
BZID-1304402463,2021-12-17,28,20
BZID-1304419277,2021-12-10,44,35
BZID-1304404870,2021-09-13,2,2
BZID-1304395509,2021-12-13,8,3
BZID-1304350994,2021-11-09,3,3
BZID-1304377369,2021-09-21,1,1
BZID-1304596919,2021-12-16,5,5
BZID-1304363912,2021-12-14,7,7
BZID-1304369754,2021-10-08,1,1
BZID-1304401348,2021-12-17,5,5
BZID-1304608605,2021-12-13,18,7
BZID-1304410161,2021-07-26,1,1
BZID-1304610089,2021-12-18,19,7
BZID-1304425567,2021-12-12,7,5
BZID-1304447547,2021-11-08,12,7
BZID-1304409560,2021-10-25,6,4
BZID-1304406670,2021-08-12,4,4
BZID-1304422679,2021-07-15,1,1
BZID-1304350036,2021-11-30,13,11
BZID-1304442620,2021-12-15,35,30
BZID-1304454144,2021-11-14,17,11
BZID-1304450799,2021-09-11,20,12
BZID-1304459194,2021-06-20,8,6
BZID-1304422701,2021-07-16,4,2
BZID-1304605317,2021-12-14,9,6
BZID-1304355474,2021-12-18,7,5
BZID-1304389439,2021-12-17,8,8
BZID-1304610618,2021-12-18,10,8
BZID-1304394325,2021-09-20,2,2
BZID-1304395917,2021-12-16,14,9
BZID-1304459560,2021-03-11,218,163
BZID-1304435622,2021-08-26,9,6
BZID-1304444132,2020-09-29,1,1
BZID-1304362384,2021-10-25,1,1
BZID-1304399678,2021-10-07,3,3
BZID-1304463069,2021-12-03,12,11
BZID-1304401257,2021-08-24,2,2
BZID-1304430604,2021-12-16,44,38
BZID-1304374011,2021-10-24,7,4
BZID-1304480159,2020-11-14,59,40
BZID-1304449200,2021-10-09,15,10
BZID-1304476377,2017-11-14,6,5
BZID-1304425775,2021-08-19,37,16
BZID-1304442358,2021-12-14,39,28
BZID-1304380649,2021-12-13,5,4
BZID-1304387846,2021-10-16,7,4
BZID-1304460996,2019-11-05,14,13
BZID-1304449497,2021-12-14,31,22
BZID-1304402066,2021-08-11,1,1
BZID-1304438788,2021-04-03,3,3
BZID-1304353719,2021-12-18,24,16
BZID-1304424500,2021-11-30,6,5
BZID-1304351796,2021-12-08,2,2
BZID-1304360336,2021-10-31,4,2
BZID-1304609114,2021-12-16,3,3
BZID-1304407944,2021-11-28,22,15
BZID-1304422252,2021-12-15,10,7
BZID-1304365939,2021-11-18,5,5
BZID-1304404948,2021-11-03,2,2
BZID-1304430164,2021-11-14,4,3
BZID-1304439398,2021-04-03,7,6
BZID-1304420753,2021-08-05,1,1
BZID-1304376543,2021-12-08,5,4
BZID-1304388445,2021-10-06,1,1
BZID-1304445481,2021-03-05,7,6
BZID-1304434889,2021-11-26,21,18
BZID-1304411153,2021-12-08,6,6
