businessid,prev_max_order_dt,prev_total_orders,prev_distinct_order_dates
BZID-1304383763,2021-12-18,88,56
BZID-1304450015,2021-12-18,574,332
BZID-1304460757,2021-12-15,468,158
BZID-1304462120,2021-12-15,367,237
BZID-1304464364,2021-12-12,4511,451
BZID-1304471140,2021-12-13,593,278
BZID-1304431189,2021-12-18,2393,370
BZID-1304464221,2021-12-17,1968,479
BZID-1304475906,2021-12-18,2661,769
BZID-1304463494,2021-12-11,637,289
BZID-1304457750,2021-12-09,500,218
BZID-1304474020,2021-12-15,1289,673
BZID-1304454426,2021-12-12,41,40
BZID-1304475055,2021-12-15,1174,647
BZID-1304432599,2021-12-11,96,69
BZID-1304477478,2021-12-17,1069,388
BZID-1304471865,2021-12-18,472,170
BZID-1304477388,2021-12-18,4738,1138
BZID-1304477954,2021-12-17,2747,1076
BZID-1304425362,2021-12-17,188,105
BZID-1304379711,2021-12-11,12,9
BZID-1304416452,2021-12-18,492,92
BZID-1304415199,2021-12-18,41,16
BZID-1304384702,2021-12-17,39,7
BZID-1304419976,2021-12-17,53,45
BZID-1304474361,2019-10-04,43,23
BZID-1304473576,2021-12-18,4158,1033
BZID-1304475136,2021-12-18,6265,1447
BZID-1304478187,2020-08-19,77,63
BZID-1304418835,2021-09-11,87,35
BZID-1304459595,2021-12-13,648,372
BZID-1304479286,2021-12-10,336,259
BZID-1304435848,2021-11-19,97,77
BZID-1304468722,2021-12-18,9402,1077
BZID-1304444294,2021-12-16,268,196
BZID-1304434051,2021-12-18,68,52
BZID-1304444992,2021-10-19,423,215
BZID-1304452273,2021-12-18,1486,453
BZID-1304473169,2021-12-18,684,408
BZID-1304476705,2021-12-18,5157,908
BZID-1304473876,2021-12-13,2231,739
BZID-1304477644,2021-12-18,1262,694
BZID-1304457380,2021-12-17,378,228
BZID-1304463524,2021-11-27,1150,297
BZID-1304478753,2021-09-19,3063,755
BZID-1304434771,2021-12-18,57,41
BZID-1304443347,2021-12-18,361,254
BZID-1304391636,2021-12-16,40,34
BZID-1304453809,2021-12-16,139,111
BZID-1304449622,2021-04-27,33,23
BZID-1304478378,2021-12-18,3490,653
BZID-1304453162,2021-12-18,385,266
BZID-1304451401,2021-12-13,1265,353
BZID-1304420493,2021-12-13,124,52
BZID-1304457107,2021-12-18,1325,441
BZID-1304361222,2021-12-16,50,29
BZID-1304355209,2021-12-13,14,6
BZID-1304471701,2021-12-18,1805,686
BZID-1304461165,2021-12-18,2662,734
BZID-1304426591,2021-12-18,241,125
BZID-1304451295,2021-12-17,799,273
BZID-1304428728,2021-12-18,354,123
BZID-1304428635,2021-12-07,65,52
BZID-1304451117,2021-12-17,233,190
BZID-1304438543,2021-12-18,221,125
BZID-1304423543,2021-12-17,141,111
BZID-1304469322,2021-12-18,1900,652
BZID-1304439694,2021-04-30,67,41
BZID-1304437828,2021-11-26,161,95
BZID-1304464961,2021-12-12,864,444
BZID-1304425810,2021-12-15,53,42
BZID-1304471654,2021-12-17,1728,630
BZID-1304463456,2021-09-23,1038,284
BZID-1304477896,2020-10-20,173,45
BZID-1304420543,2021-12-09,133,47
BZID-1304478687,2021-12-13,1283,279
BZID-1304478042,2021-12-18,1999,886
BZID-1304428410,2021-12-17,148,73
BZID-1304401666,2021-12-17,87,55
BZID-1304452292,2021-12-14,73,44
BZID-1304449663,2021-12-14,145,108
BZID-1304462928,2021-12-16,193,134
BZID-1304474618,2021-12-18,1649,840
BZID-1304425463,2021-12-18,207,147
BZID-1304473628,2021-12-17,1247,654
BZID-1304464238,2021-05-11,1842,674
BZID-1304458577,2021-12-16,1367,486
BZID-1304417435,2021-12-18,283,126
BZID-1304460636,2021-08-20,2473,409
BZID-1304460140,2021-09-29,949,173
BZID-1304462456,2021-12-16,134,81
BZID-1304476531,2021-12-04,1083,275
BZID-1304469863,2021-12-18,973,518
BZID-1304434509,2021-12-17,97,83
BZID-1304466133,2021-12-17,1327,338
BZID-1304459969,2021-12-18,2679,689
BZID-1304460823,2021-12-18,590,257
BZID-1304466579,2021-12-07,276,126
BZID-1304473810,2021-12-17,1843,812
BZID-1304461741,2021-12-18,1411,541
BZID-1304475886,2021-12-13,439,343
BZID-1304469936,2021-12-18,3544,909
BZID-1304450385,2021-12-18,371,240
BZID-1304469861,2021-12-17,902,495
BZID-1304351892,2021-12-17,9,8
BZID-1304475202,2021-12-18,1163,738
BZID-1304391042,2021-12-18,90,40
BZID-1304449146,2021-12-17,1939,419
BZID-1304457459,2021-12-18,905,615
BZID-1304475668,2021-12-18,2709,1070
BZID-1304452890,2021-12-17,380,240
BZID-1304443260,2021-12-18,5039,452
BZID-1304425023,2021-11-23,13,9
BZID-1304479554,2021-12-07,625,236
BZID-1304464770,2021-12-11,675,414
BZID-1304462090,2021-12-15,225,185
BZID-1304472281,2021-12-18,365,271
BZID-1304474448,2021-12-04,251,67
BZID-1304450475,2021-12-17,402,317
BZID-1304440720,2021-12-18,452,217
BZID-1304444272,2021-12-18,222,168
BZID-1304442954,2020-11-15,4,4
BZID-1304419804,2021-12-18,253,63
BZID-1304466470,2021-12-09,628,228
BZID-1304469313,2021-12-18,1423,454
BZID-1304479629,2021-12-17,3876,899
BZID-1304457187,2021-02-12,554,229
BZID-1304464251,2020-03-29,1298,201
BZID-1304458406,2021-07-08,304,197
BZID-1304351890,2021-12-18,14,14
BZID-1304402063,2021-12-18,111,68
BZID-1304610716,2021-12-13,5,4
BZID-1304430092,2021-12-18,186,106
BZID-1304416202,2021-12-17,13,10
BZID-1304429254,2021-12-17,42,15
BZID-1304420061,2021-12-16,45,36
BZID-1304397248,2021-09-02,1,1
BZID-1304359667,2021-12-17,23,17
BZID-1304415708,2021-12-11,56,46
BZID-1304458851,2020-08-07,468,199
BZID-1304409527,2021-12-16,358,48
BZID-1304472544,2021-11-18,309,253
BZID-1304457593,2021-12-12,325,261
BZID-1304425916,2021-12-18,574,188
BZID-1304415990,2021-12-18,93,76
BZID-1304472484,2021-12-10,284,125
BZID-1304469042,2021-12-18,5162,696
BZID-1304610157,2021-12-17,12,7
BZID-1304430941,2021-12-13,33,31
BZID-1304461289,2020-02-25,667,89
BZID-1304423470,2021-12-18,118,97
BZID-1304409103,2021-12-18,284,55
BZID-1304451538,2021-10-06,9,6
BZID-1304371949,2021-11-19,2,1
BZID-1304428277,2021-12-18,79,45
BZID-1304444618,2021-12-18,201,190
BZID-1304462527,2021-12-18,916,490
BZID-1304444373,2021-12-18,88,59
BZID-1304429030,2021-12-07,52,31
BZID-1304457214,2021-12-11,408,69
BZID-1304467165,2021-12-12,687,508
BZID-1304463473,2021-12-18,656,224
BZID-1304439959,2021-12-17,1813,294
BZID-1304608539,2021-12-17,4,3
BZID-1304443755,2021-12-18,126,103
BZID-1304428769,2021-12-17,139,117
BZID-1304459870,2021-12-18,402,226
BZID-1304446606,2021-12-18,3514,444
BZID-1304351608,2021-12-18,40,22
BZID-1304463694,2021-12-12,1483,253
BZID-1304362741,2021-12-18,191,28
BZID-1304363896,2021-12-15,38,25
BZID-1304441933,2021-12-15,143,93
BZID-1304353431,2021-12-18,50,23
BZID-1304434323,2021-12-18,672,209
BZID-1304424993,2021-12-17,189,95
BZID-1304431765,2021-12-18,645,276
BZID-1304426837,2021-09-12,67,47
BZID-1304470174,2021-12-04,126,97
BZID-1304362312,2021-11-09,9,6
BZID-1304444214,2021-12-18,104,58
BZID-1304437113,2021-09-22,234,117
BZID-1304461980,2021-12-17,467,258
BZID-1304457421,2021-12-18,165,114
BZID-1304605029,2021-12-17,42,12
BZID-1304394977,2021-12-13,11,11
BZID-1304373817,2021-10-31,135,12
BZID-1304371068,2021-12-17,34,25
BZID-1304428972,2021-12-18,193,85
BZID-1304595474,2021-12-17,2,2
BZID-1304367087,2021-12-17,36,23
BZID-1304384325,2021-12-07,40,28
BZID-1304416299,2021-12-15,133,91
BZID-1304425877,2021-12-18,157,88
BZID-1304395951,2021-12-18,84,57
BZID-1304355402,2021-12-17,89,25
BZID-1304405328,2021-12-17,54,39
BZID-1304388185,2021-12-16,24,20
BZID-1304475890,2021-01-13,2040,790
BZID-1304475797,2021-12-17,1939,500
BZID-1304414178,2021-12-17,67,42
BZID-1304395833,2021-12-03,20,12
BZID-1304389535,2021-12-13,7,5
BZID-1304472496,2018-09-06,1031,215
BZID-1304359070,2021-12-18,11,9
BZID-1304359184,2021-12-16,29,15
BZID-1304350289,2021-12-07,13,10
BZID-1304350722,2021-12-17,31,17
BZID-1304414226,2021-10-30,62,16
BZID-1304451400,2021-12-14,102,59
BZID-1304423483,2021-12-15,47,38
BZID-1304376039,2021-12-17,30,27
BZID-1304470551,2020-10-23,596,232
BZID-1304449004,2021-12-17,168,112
BZID-1304401172,2021-12-09,7,7
BZID-1304411492,2021-10-26,3,3
BZID-1304478002,2021-09-08,202,164
BZID-1304420221,2021-12-18,20,18
BZID-1304350764,2021-12-17,10,8
BZID-1304427147,2021-12-18,64,56
BZID-1304411104,2021-12-04,9,8
BZID-1304447849,2021-12-18,50,34
BZID-1304413329,2021-12-18,81,47
BZID-1304359621,2021-12-18,19,17
BZID-1304394289,2021-10-04,3,3
BZID-1304471093,2021-12-18,1975,766
BZID-1304403501,2021-08-12,3,1
BZID-1304350216,2021-11-20,3,3
BZID-1304461732,2019-11-15,206,74
BZID-1304388361,2021-12-16,18,13
BZID-1304425196,2021-11-10,13,12
BZID-1304355753,2021-11-17,1,1
BZID-1304362149,2021-12-15,7,6
BZID-1304430151,2021-12-18,730,124
BZID-1304477659,2021-12-08,529,312
BZID-1304476916,2021-05-03,565,183
BZID-1304355704,2021-12-16,18,13
