businessid,total_visits
BZID-1304419470,2
BZID-1304411059,4
BZID-1304436528,1
BZID-1304408619,1
BZID-1304396448,3
BZID-1304401916,1
BZID-1304369453,2
BZID-1304350474,1
BZID-1304434985,1
BZID-1304395469,3
BZID-1304470550,1
BZID-1304402072,1
BZID-1304389944,1
BZID-1304408293,1
BZID-1304390679,2
BZID-1304434295,1
BZID-1304407550,2
BZID-1304383208,1
BZID-1304475978,3
BZID-1304457907,1
BZID-1304417663,2
BZID-1304389802,3
BZID-1304467650,1
BZID-1304391941,2
BZID-1304419857,1
BZID-1304410411,2
BZID-1304382719,2
BZID-1304395793,2
BZID-1304421741,3
BZID-1304414288,3
BZID-1304422703,1
BZID-1304375557,2
BZID-1304460048,2
BZID-1304450607,1
BZID-1304445009,2
BZID-1304384249,4
BZID-1304411016,5
BZID-1304408789,1
BZID-1304411419,3
BZID-1304411160,1
BZID-1304458478,1
BZID-1304367569,1
BZID-1304385401,6
BZID-1304362903,1
BZID-1304386795,3
BZID-1304394182,2
BZID-1304426616,3
BZID-1304381567,2
BZID-1304479472,2
BZID-1304397702,1
BZID-1304399442,1
BZID-1304363392,1
BZID-1304450878,1
BZID-1304399590,1
BZID-1304397528,1
BZID-1304429142,1
BZID-1304423617,1
BZID-1304402073,3
BZID-1304367693,1
BZID-1304448882,1
BZID-1304420439,1
BZID-1304460640,1
BZID-1304435401,1
BZID-1304420933,1
BZID-1304477134,1
BZID-1304418211,2
BZID-1304424187,2
BZID-1304417279,1
BZID-1304424384,1
BZID-1304403692,1
BZID-1304362980,3
BZID-1304477081,1
BZID-1304431117,1
BZID-1304424816,1
BZID-1304391420,1
BZID-1304410957,1
BZID-1304360971,2
BZID-1304459867,1
BZID-1304381759,1
BZID-1304408865,2
BZID-1304363339,2
BZID-1304397029,2
BZID-1304382666,1
BZID-1304422987,2
BZID-1304355670,1
BZID-1304429556,2
BZID-1304408649,1
BZID-1304358269,1
BZID-1304415010,2
BZID-1304422421,1
BZID-1304399452,5
BZID-1304423779,2
BZID-1304366651,2
BZID-1304478826,1
BZID-1304479299,1
BZID-1304400141,2
BZID-1304418574,1
BZID-1304477172,1
BZID-1304422245,1
BZID-1304469998,1
BZID-1304412722,1
BZID-1304467474,1
BZID-1304397579,4
BZID-1304413424,3
BZID-1304374557,1
BZID-1304405448,1
BZID-1304417631,2
BZID-1304463185,1
BZID-1304441817,2
BZID-1304405447,1
BZID-1304416159,1
BZID-1304414929,1
BZID-1304417945,1
BZID-1304419250,1
BZID-1304393997,1
BZID-1304435407,1
BZID-1304461386,3
BZID-1304423805,1
BZID-1304399828,3
BZID-1304462777,1
BZID-1304359438,1
BZID-1304389595,2
BZID-1304422374,2
BZID-1304391014,1
BZID-1304406366,1
BZID-1304458386,2
BZID-1304389080,1
BZID-1304377473,1
BZID-1304398426,1
BZID-1304429222,2
BZID-1304380109,2
BZID-1304419630,1
BZID-1304440066,1
BZID-1304371793,1
BZID-1304382923,2
BZID-1304461946,1
BZID-1304381530,2
BZID-1304420240,1
BZID-1304417285,1
BZID-1304391261,1
BZID-1304395505,1
BZID-1304410123,1
BZID-1304422910,3
BZID-1304408514,2
BZID-1304420836,2
BZID-1304471761,2
BZID-1304447142,1
BZID-1304473732,1
BZID-1304412072,8
BZID-1304410574,1
BZID-1304375165,1
BZID-1304416153,3
BZID-1304421673,1
BZID-1304412217,1
BZID-1304430860,2
BZID-1304409034,2
BZID-1304412552,1
BZID-1304382439,1
BZID-1304430767,2
BZID-1304384835,1
BZID-1304471494,2
BZID-1304395351,1
BZID-1304383123,3
BZID-1304414039,1
BZID-1304383114,1
BZID-1304390063,2
BZID-1304413022,2
BZID-1304425785,1
BZID-1304375511,1
BZID-1304417104,1
BZID-1304436737,1
BZID-1304464410,1
BZID-1304415890,2
BZID-1304428955,2
BZID-1304420004,1
BZID-1304462463,1
BZID-1304473706,2
BZID-1304409174,1
BZID-1304407615,2
BZID-1304386866,1
BZID-1304400788,2
BZID-1304449042,1
BZID-1304410258,2
BZID-1304410906,8
BZID-1304451191,2
BZID-1304467331,1
BZID-1304423482,2
BZID-1304391749,1
BZID-1304385388,3
BZID-1304449510,1
BZID-1304364057,1
BZID-1304357983,1
BZID-1304392633,1
BZID-1304404116,1
BZID-1304394315,1
BZID-1304477515,2
BZID-1304414808,1
BZID-1304427533,1
BZID-1304475901,1
BZID-1304424359,1
BZID-1304401651,2
BZID-1304408064,1
BZID-1304429748,1
BZID-1304399150,1
BZID-1304407608,1
BZID-1304406209,3
BZID-1304408096,2
BZID-1304405056,1
BZID-1304423201,1
BZID-1304391990,1
BZID-1304450871,1
BZID-1304426924,2
BZID-1304449366,1
BZID-1304390413,2
BZID-1304404171,1
BZID-1304415309,2
BZID-1304421885,2
BZID-1304359669,2
BZID-1304381896,1
BZID-1304399813,3
BZID-1304449351,1
BZID-1304377886,4
BZID-1304382448,1
BZID-1304413841,1
BZID-1304379626,1
BZID-1304391418,1
BZID-1304396328,1
BZID-1304364277,2
BZID-1304397833,2
BZID-1304378863,1
BZID-1304402035,2
BZID-1304407969,2
BZID-1304349696,1
BZID-1304413902,1
BZID-1304409314,2
BZID-1304378918,1
BZID-1304388445,2
BZID-1304449006,1
BZID-1304479916,1
BZID-1304441057,1
BZID-1304459989,1
BZID-1304471685,1
BZID-1304410192,2
BZID-1304390935,1
BZID-1304434486,1
BZID-1304423791,1
BZID-1304400957,3
BZID-1304427040,1
BZID-1304463231,1
BZID-1304409008,2
BZID-1304463331,2
BZID-1304427540,3
BZID-1304449382,1
BZID-1304416244,2
BZID-1304374480,2
BZID-1304359128,2
BZID-1304439185,1
BZID-1304373956,1
BZID-1304402402,2
BZID-1304475563,1
BZID-1304474806,1
BZID-1304470506,1
BZID-1304604080,1
BZID-1304457015,1
BZID-1304413277,1
BZID-1304437217,2
BZID-1304476483,2
BZID-1304403176,1
BZID-1304387846,1
BZID-1304368602,1
BZID-1304401240,1
BZID-1304450867,1
BZID-1304368830,1
BZID-1304402328,2
BZID-1304358007,2
BZID-1304374322,1
BZID-1304390685,1
BZID-1304361822,1
BZID-1304397961,3
BZID-1304379294,1
