bz_id,avg_daily_utilzation
BZID-1304476512,11.3441512861802716821
BZID-1304357996,48.8231116883116883040
BZID-1304389409,37.6280000000000000000
BZID-1304471697,58.6135455042185420064
BZID-1304467386,13.4625409090909090909
BZID-1304417317,77.5118750000000000000
BZID-1304359593,40.4794000000000000000
BZID-1304355978,59.2449335833333333331
BZID-1304381214,49.7420000000000000000
BZID-1304422447,86.8189090909090909054
BZID-1304476979,18.1551689422954262910
BZID-1304413235,64.7351832128905005760
BZID-1304366558,26.8720000000000000000
BZID-1304471840,10.4536740740740740711
BZID-1304564396,22.9855888888888888888
BZID-1304476091,40.8585500000000000000
BZID-1304427064,98.0128333333333333320
BZID-1304478598,23.9249961904761904752
BZID-1304413447,69.7491750000000000000
BZID-1304465527,57.1874999999999999968
BZID-1304476910,37.7763831932773109211
BZID-1304459283,71.5914670223434201252
BZID-1304385118,60.0489600000000000000
BZID-1304421243,56.5506598290598290589
BZID-1304360834,34.8680144138440434719
BZID-1304461767,48.1340894850140751778
BZID-1304370426,100.0000000000000000000
BZID-1304431680,128.2721275414781297130
BZID-1304610215,39.4770529161584889104
BZID-1304407765,100.0000000000000000000
BZID-1304423084,10.5353750000000000000
BZID-1304426440,161.9173000000000000000
BZID-1304363576,26.7842249999999999978
BZID-1304415175,8.7461550000000000000
BZID-1304545858,19.3552000000000000000
BZID-1304477576,18.3880860161506036204
BZID-1304354492,80.2312833333333333325
BZID-1304609017,27.1656720092915214836
BZID-1304374481,19.6940189330313941141
BZID-1304404780,100.0000000000000000000
BZID-1304422519,31.8314276012145748987
BZID-1304412519,71.6148355799373040739
BZID-1304598014,53.1193333333333333333
BZID-1304547434,47.4393142857142857142
BZID-1304357612,74.7304400000000000000
BZID-1304545820,60.1282000000000000000
BZID-1304546599,62.5880000000000000000
BZID-1304457833,18.6325895202429149755
BZID-1304438887,83.6558000000000000000
BZID-1304466816,19.4095253790375741563
BZID-1304422080,48.4251576923076923076
BZID-1304368051,79.0660018315018315005
BZID-1304423227,23.0286517132105367377
BZID-1304417273,18.0528616240927971829
BZID-1304364241,70.5471725490196078405
BZID-1304374658,24.3574000000000000000
BZID-1304467746,15.9073790190190190187
BZID-1304461997,25.6757057122953674633
BZID-1304436751,52.9212000000000000000
BZID-1304429528,35.2657156631134159205
BZID-1304394250,405.1040389053092501344
BZID-1304560202,54.2369000000000000000
BZID-1304478316,12.6000000000000000000
BZID-1304475090,9.8087621335553495073
BZID-1304470489,9.6773409049385125863
BZID-1304428195,100.0000000000000000000
BZID-1304400146,26.3225425056116722774
BZID-1304430073,22.8878672751942306973
BZID-1304469514,18.2631874171966830961
BZID-1304364606,100.0000000000000000000
BZID-1304376025,54.9033500000000000000
BZID-1304577724,83.4944666666666666666
BZID-1304419508,18.2279897264749813249
BZID-1304432590,78.9521178308823529411
BZID-1304467408,28.6268819444444444424
BZID-1304425367,21.4794779663078513612
BZID-1304371299,71.4255952380952380950
BZID-1304478938,17.2477407390059849071
BZID-1304402920,32.9485633302724211760
BZID-1304353606,60.6753791587301587292
BZID-1304448314,82.2870076767676767670
BZID-1304396508,16.1090800000000000000
BZID-1304372580,38.3186000000000000000
BZID-1304378378,10.2959428571428571428
BZID-1304466884,8.7526483204633204629
BZID-1304431218,60.7103894407446040264
BZID-1304417176,41.4404000000000000000
