businessid,calls
BZID-1304369694,3
BZID-1304401905,1
BZID-1304598797,2
BZID-1304428298,4
BZID-1304397906,2
BZID-1304428880,3
BZID-1304462430,21
BZID-1304466728,2
BZID-1304424447,3
BZID-1304363095,2
BZID-1304430747,3
BZID-1304389072,8
BZID-1304458537,2
BZID-1304465317,6
BZID-1304378246,1
BZID-1304373073,4
BZID-1304424204,1
BZID-1304468625,2
BZID-1304393434,2
BZID-1304394882,13
BZID-1304477525,5
BZID-1304349621,2
BZID-1304445799,11
BZID-1304459235,1
BZID-1304438522,2
BZID-1304399099,1
BZID-1304419842,12
BZID-1304436279,2
BZID-1304409342,1
BZID-1304383199,6
BZID-1304449353,1
BZID-1304424236,6
BZID-1304373245,10
BZID-1304375480,2
BZID-1304379495,1
BZID-1304413787,7
BZID-1304373445,2
BZID-1304389713,1
BZID-1304374515,6
BZID-1304461885,1
BZID-1304437157,3
BZID-1304460765,1
BZID-1304391884,2
BZID-1304441541,2
BZID-1304568086,1
BZID-1304422745,1
BZID-1304367579,1
BZID-1304422469,5
BZID-1304554887,2
BZID-1304564273,1
BZID-1304600924,4
BZID-1304416910,2
BZID-1304435270,2
BZID-1304439352,2
BZID-1304415308,3
BZID-1304412164,1
BZID-1304356081,1
BZID-1304377227,2
BZID-1304460331,4
BZID-1304381935,3
BZID-1304400936,8
BZID-1304406512,7
BZID-1304607347,4
BZID-1304563112,1
BZID-1304381979,1
BZID-1304429077,2
BZID-1304546583,3
BZID-1304436441,2
BZID-1304362628,2
BZID-1304609092,9
BZID-1304467095,1
BZID-1304600977,1
BZID-1304369693,1
BZID-1304597770,8
BZID-1304440960,3
BZID-1304539943,1
BZID-1304408995,3
BZID-1304408264,5
BZID-1304549197,1
BZID-1304397530,1
BZID-1304418134,1
BZID-1304416653,1
BZID-1304393662,4
BZID-1304406869,1
BZID-1304379373,4
BZID-1304391991,1
BZID-1304395893,32
BZID-1304405850,1
BZID-1304415618,1
BZID-1304457273,2
BZID-1304430175,4
BZID-1304387510,2
BZID-1304357375,3
BZID-1304391837,1
BZID-1304386100,2
BZID-1304441408,2
BZID-1304474076,2
BZID-1304479007,3
BZID-1304400996,6
BZID-1304398570,1
BZID-1304461785,3
BZID-1304371968,8
BZID-1304407130,6
BZID-1304434205,1
BZID-1304435861,2
BZID-1304404411,1
BZID-1304361974,14
BZID-1304388243,3
BZID-1304546676,2
BZID-1304609299,1
BZID-1304605219,2
BZID-1304414409,3
BZID-1304380387,8
BZID-1304360896,3
BZID-1304375135,1
BZID-1304411723,3
BZID-1304399375,3
BZID-1304392445,1
BZID-1304406753,2
BZID-1304367607,7
BZID-1304432459,2
BZID-1304426488,1
BZID-1304458602,4
BZID-1304444257,7
BZID-1304391404,4
BZID-1304451103,1
BZID-1304419892,2
BZID-1304383321,1
BZID-1304419067,5
BZID-1304552185,1
BZID-1304372225,3
BZID-1304433166,2
