business_id,sc_points_red,sc_rewards_count
BZID-1304437023,1200.0,1
BZID-1304465302,3500.0,1
BZID-1304469381,2000.0,1
BZID-1304479280,16500.0,1
BZID-1304457195,2000.0,1
BZID-1304391808,3300.0,1
BZID-1304475736,32500.0,1
BZID-1304446324,11000.0,1
BZID-1304463361,1200.0,1
BZID-1304465504,1300.0,1
BZID-1304426136,6200.0,2
BZID-1304471664,2100.0,1
BZID-1304457407,2500.0,2
BZID-1304470710,10500.0,1
BZID-1304461435,2100.0,1
BZID-1304463817,1200.0,1
BZID-1304475486,17300.0,3
BZID-1304436053,550.0,1
BZID-1304465036,3800.0,1
BZID-1304460392,16000.0,1
BZID-1304467431,1300.0,1
BZID-1304469580,3200.0,1
BZID-1304467381,1300.0,1
BZID-1304412678,550.0,1
BZID-1304434752,4100.0,2
BZID-1304474907,3200.0,1
BZID-1304436174,1200.0,1
BZID-1304462029,2000.0,1
BZID-1304460928,2700.0,1
BZID-1304478775,2100.0,1
BZID-1304424642,550.0,1
BZID-1304442185,2250.0,1
BZID-1304462851,1200.0,1
BZID-1304478907,3500.0,1
BZID-1304458123,4500.0,1
BZID-1304465502,2700.0,1
BZID-1304469887,1300.0,1
BZID-1304465550,36200.0,2
BZID-1304444669,1300.0,1
BZID-1304464460,2000.0,1
BZID-1304462250,6150.0,3
BZID-1304460005,2100.0,1
BZID-1304414228,3500.0,1
BZID-1304461315,1200.0,1
BZID-1304477819,1200.0,1
BZID-1304467918,18000.0,1
BZID-1304472144,2100.0,1
BZID-1304471706,3800.0,1
BZID-1304475332,3200.0,1
BZID-1304446018,4500.0,1
BZID-1304453529,1200.0,1
BZID-1304467179,4500.0,1
BZID-1304473392,5000.0,1
BZID-1304403897,2850.0,2
BZID-1304473337,1200.0,1
BZID-1304425398,550.0,1
BZID-1304459864,2100.0,1
BZID-1304469946,3500.0,1
BZID-1304425241,17000.0,1
BZID-1304476369,33500.0,1
BZID-1304456014,1200.0,1
BZID-1304462885,3050.0,3
BZID-1304477266,32500.0,1
BZID-1304431673,6600.0,1
BZID-1304446947,1750.0,2
BZID-1304461850,4000.0,2
BZID-1304477251,16000.0,1
BZID-1304473758,1750.0,2
BZID-1304434278,2250.0,1
BZID-1304453798,550.0,1
BZID-1304432173,550.0,1
BZID-1304426891,13500.0,2
BZID-1304461432,5550.0,3
BZID-1304479426,3500.0,1
BZID-1304439163,1200.0,1
BZID-1304426109,1200.0,1
BZID-1304456706,3800.0,1
BZID-1304476755,4500.0,1
BZID-1304426621,4500.0,1
BZID-1304477553,4050.0,2
BZID-1304426041,3850.0,1
BZID-1304470773,10500.0,1
BZID-1304463074,550.0,1
BZID-1304469834,4500.0,1
BZID-1304466212,10500.0,1
BZID-1304469935,1300.0,1
BZID-1304464264,1200.0,1
BZID-1304476374,2100.0,1
BZID-1304451432,3800.0,1
BZID-1304442993,1300.0,1
BZID-1304450310,550.0,1
BZID-1304470512,10500.0,1
BZID-1304410178,2000.0,1
BZID-1304465395,3550.0,2
BZID-1304479852,2250.0,1
BZID-1304462171,1200.0,1
BZID-1304472304,2100.0,1
BZID-1304449674,1300.0,1
BZID-1304479485,10500.0,1
BZID-1304479837,32500.0,1
BZID-1304478470,550.0,1
BZID-1304477499,3200.0,1
BZID-1304471435,10500.0,1
BZID-1304480048,2100.0,1
BZID-1304435194,7200.0,3
BZID-1304464616,3200.0,1
BZID-1304445671,1200.0,1
BZID-1304416450,5050.0,4
BZID-1304479410,1200.0,1
BZID-1304476566,2700.0,1
BZID-1304457757,1300.0,1
BZID-1304475329,18000.0,1
BZID-1304474289,5000.0,1
BZID-1304471383,1200.0,1
BZID-1304465776,2100.0,1
BZID-1304395192,550.0,1
BZID-1304474570,4500.0,1
BZID-1304477828,10500.0,1
BZID-1304477895,18000.0,1
BZID-1304416536,550.0,1
BZID-1304426622,10500.0,1
BZID-1304424042,1300.0,1
BZID-1304443149,2700.0,1
BZID-1304479209,13500.0,1
BZID-1304469402,9000.0,1
BZID-1304478750,2250.0,1
BZID-1304466030,8500.0,2
BZID-1304452930,5900.0,2
BZID-1304472864,8000.0,1
BZID-1304466747,9000.0,1
BZID-1304469257,8000.0,1
BZID-1304474218,4500.0,1
BZID-1304470856,43000.0,2
BZID-1304425012,550.0,1
BZID-1304477506,4500.0,1
BZID-1304469881,65000.0,1
BZID-1304471509,1200.0,1
BZID-1304456489,2700.0,1
BZID-1304381925,550.0,1
BZID-1304426413,2100.0,1
BZID-1304448173,2100.0,1
BZID-1304476105,84000.0,1
BZID-1304460406,1200.0,1
BZID-1304480134,10500.0,1
BZID-1304401269,1200.0,1
BZID-1304426987,2700.0,1
BZID-1304436107,1200.0,1
BZID-1304476979,5000.0,1
BZID-1304469806,1200.0,1
BZID-1304461501,1750.0,2
BZID-1304469966,1200.0,1
BZID-1304407921,5100.0,2
BZID-1304402920,1300.0,1
BZID-1304388714,1200.0,1
BZID-1304456357,1200.0,1
BZID-1304475148,13200.0,2
BZID-1304477674,2400.0,1
BZID-1304460056,2100.0,1
BZID-1304476503,1750.0,2
BZID-1304466884,9200.0,2
BZID-1304416877,1100.0,1
BZID-1304477744,32500.0,1
BZID-1304476338,2000.0,1
BZID-1304480036,9000.0,1
BZID-1304462661,2100.0,1
BZID-1304475090,2250.0,1
BZID-1304475494,1200.0,1
BZID-1304464471,2700.0,1
BZID-1304471397,32500.0,1
BZID-1304470351,1200.0,1
BZID-1304452903,550.0,1
BZID-1304427365,1200.0,1
BZID-1304446170,2100.0,1
BZID-1304474544,8000.0,1
BZID-1304471840,1100.0,1
BZID-1304479332,550.0,1
BZID-1304465466,2000.0,1
BZID-1304469237,1200.0,1
BZID-1304470642,2000.0,1
BZID-1304462714,1300.0,1
BZID-1304475728,1300.0,1
BZID-1304418227,1200.0,1
BZID-1304464856,9000.0,1
BZID-1304464451,4500.0,1
BZID-1304477356,10500.0,1
BZID-1304461529,1200.0,1
BZID-1304461247,1200.0,1
BZID-1304471882,1200.0,1
BZID-1304472524,9000.0,1
BZID-1304471679,1200.0,1
BZID-1304471391,7000.0,2
BZID-1304461934,1200.0,1
BZID-1304415698,5000.0,1
BZID-1304476954,1200.0,1
BZID-1304459088,2700.0,1
BZID-1304438240,2000.0,1
BZID-1304458783,5300.0,2
BZID-1304444275,2250.0,1
BZID-1304472384,1200.0,1
BZID-1304464573,4500.0,1
BZID-1304480073,2700.0,1
BZID-1304416529,550.0,1
BZID-1304436916,550.0,1
