businessid,cta_dt_cnt,ppv_plv_dt_cnt,atc_dt_cnt
BZID-1304438227,8,8,7
BZID-1304605214,4,2,0
BZID-1304553550,19,19,9
BZID-1304577874,8,4,2
BZID-1304437214,19,12,12
BZID-1304463330,20,20,19
BZID-1304610541,5,2,0
BZID-1304391802,21,15,1
BZID-1304506829,6,6,3
BZID-1304386980,15,9,4
BZID-1304432387,12,9,2
BZID-1304378667,11,8,6
BZID-1304389424,28,25,18
BZID-1304569909,20,16,1
BZID-1304467083,18,16,11
BZID-1304610463,10,9,5
BZID-1304425290,11,10,3
BZID-1304357251,24,15,12
BZID-1304553407,14,13,5
BZID-1304530320,9,8,3
BZID-1304361006,12,12,12
BZID-1304530014,2,1,1
BZID-1304577778,8,8,1
BZID-1304530018,8,8,6
BZID-1304512334,6,4,1
BZID-1304529798,5,5,2
BZID-1304436765,9,7,6
BZID-1304426864,5,5,2
BZID-1304553676,12,12,6
BZID-1304529972,3,2,1
BZID-1304542190,12,10,7
BZID-1304547377,9,8,3
BZID-1304401747,7,1,1
BZID-1304562043,8,7,3
BZID-1304409242,2,2,1
BZID-1304388808,16,14,9
BZID-1304365799,18,4,1
BZID-1304405152,14,13,5
BZID-1304532834,1,1,1
BZID-1304470437,35,22,5
BZID-1304393687,7,6,5
BZID-1304538291,17,15,11
BZID-1304531171,3,3,1
BZID-1304530057,3,3,2
BZID-1304409360,1,1,1
BZID-1304552098,13,10,3
BZID-1304529892,7,6,3
BZID-1304609401,10,4,2
BZID-1304463507,33,32,14
BZID-1304529939,4,3,0
BZID-1304412369,8,7,1
BZID-1304395604,10,8,5
BZID-1304531336,9,7,4
BZID-1304434288,12,9,6
BZID-1304432827,20,12,9
BZID-1304520674,4,3,0
BZID-1304393299,28,12,4
BZID-1304397935,1,1,0
BZID-1304461422,23,18,8
BZID-1304606930,15,13,6
BZID-1304532590,7,6,6
BZID-1304390950,9,8,5
BZID-1304378489,7,5,3
BZID-1304553725,4,3,2
BZID-1304605728,17,12,6
BZID-1304416534,37,28,12
BZID-1304479871,26,12,11
BZID-1304407342,2,2,1
BZID-1304423750,23,17,7
BZID-1304390050,23,17,9
BZID-1304517869,3,2,0
BZID-1304428296,24,23,1
BZID-1304426264,9,5,2
BZID-1304576538,17,8,5
BZID-1304478112,6,5,4
BZID-1304352782,15,15,0
BZID-1304368740,24,20,10
BZID-1304423520,1,1,1
BZID-1304517768,7,7,2
BZID-1304372128,24,10,7
BZID-1304520558,5,4,1
BZID-1304541282,6,6,2
BZID-1304520666,6,6,5
BZID-1304604855,6,4,2
BZID-1304421152,10,9,5
BZID-1304377258,6,6,3
BZID-1304449562,14,11,7
BZID-1304413335,2,2,1
BZID-1304409252,18,15,10
BZID-1304421557,20,13,7
BZID-1304530677,7,7,5
BZID-1304450664,9,5,1
BZID-1304517844,7,6,5
BZID-1304431175,37,31,6
BZID-1304356190,6,6,2
BZID-1304413255,11,9,8
BZID-1304388904,1,1,1
BZID-1304608065,10,7,0
BZID-1304459095,4,2,2
BZID-1304530097,2,1,1
BZID-1304598563,27,23,15
BZID-1304609168,16,14,2
BZID-1304609412,7,6,5
BZID-1304389172,1,1,0
BZID-1304543784,6,6,4
BZID-1304553926,9,8,4
BZID-1304462327,58,40,12
BZID-1304442405,13,12,2
BZID-1304594913,8,8,2
BZID-1304541610,4,4,1
BZID-1304517836,3,3,2
BZID-1304400610,28,23,3
BZID-1304423609,12,11,1
BZID-1304416434,4,3,1
BZID-1304530843,6,6,1
BZID-1304562525,13,12,11
BZID-1304416715,12,10,2
BZID-1304402761,2,2,1
BZID-1304542267,10,10,4
BZID-1304414878,7,6,5
BZID-1304405563,8,2,0
BZID-1304362638,11,11,5
BZID-1304466178,54,35,26
BZID-1304363691,17,16,16
BZID-1304352928,6,5,1
BZID-1304541578,11,11,8
BZID-1304545305,10,10,7
BZID-1304561113,21,18,8
BZID-1304410884,6,6,0
BZID-1304519180,5,4,4
BZID-1304420998,5,5,1
BZID-1304384204,12,7,6
BZID-1304390020,12,10,8
BZID-1304552718,10,7,1
BZID-1304422170,13,6,6
BZID-1304424356,20,20,15
BZID-1304520507,8,6,2
BZID-1304562640,9,9,0
BZID-1304410755,13,1,0
BZID-1304384904,5,5,3
BZID-1304541400,10,9,7
BZID-1304541957,6,6,3
BZID-1304423463,4,4,3
BZID-1304520189,6,5,1
BZID-1304531022,5,4,2
BZID-1304368524,17,10,8
BZID-1304433256,15,14,0
BZID-1304551514,4,4,2
BZID-1304405190,33,30,3
BZID-1304540351,3,3,2
BZID-1304569721,6,5,3
BZID-1304539228,10,10,2
BZID-1304519695,2,1,1
BZID-1304402882,29,20,12
BZID-1304603613,1,2,2
BZID-1304519877,2,2,1
BZID-1304553520,18,17,4
BZID-1304410794,19,17,5
BZID-1304397725,1,2,1
BZID-1304538501,10,10,4
BZID-1304506222,3,3,1
BZID-1304391061,7,6,2
BZID-1304544675,6,6,3
BZID-1304390144,13,9,6
BZID-1304506811,6,6,4
BZID-1304393421,15,15,1
BZID-1304545241,8,5,2
BZID-1304541252,4,3,0
BZID-1304474753,5,4,2
BZID-1304574513,10,8,1
BZID-1304425943,10,7,4
BZID-1304380077,4,3,2
BZID-1304377171,2,2,2
BZID-1304541196,8,8,3
BZID-1304407274,22,13,11
BZID-1304382993,18,9,3
BZID-1304590721,5,4,2
BZID-1304506637,2,1,0
BZID-1304456048,27,25,5
BZID-1304541303,10,6,1
BZID-1304505378,3,2,1
BZID-1304385618,19,17,10
BZID-1304435268,20,15,0
BZID-1304376419,5,3,1
BZID-1304437599,8,9,2
BZID-1304520480,9,5,3
BZID-1304395215,28,26,10
BZID-1304445542,5,5,0
BZID-1304470216,2,1,0
BZID-1304388364,11,8,3
BZID-1304506482,4,4,4
BZID-1304422646,23,17,9
BZID-1304392711,5,4,3
BZID-1304512314,2,0,0
BZID-1304519925,4,4,1
BZID-1304383221,14,13,1
BZID-1304408253,29,30,10
BZID-1304568682,33,31,12
BZID-1304449453,23,23,3
BZID-1304595916,4,4,3
BZID-1304506526,3,1,0
BZID-1304597059,13,9,6
BZID-1304362085,23,21,3
BZID-1304357732,7,6,1
BZID-1304472226,34,24,15
BZID-1304506168,9,6,3
BZID-1304386647,21,13,7
BZID-1304577083,5,5,1
BZID-1304398801,17,16,2
BZID-1304569726,4,4,0
BZID-1304358728,20,15,4
BZID-1304380218,6,4,2
BZID-1304363761,18,13,7
BZID-1304377298,20,18,9
BZID-1304379119,34,30,12
BZID-1304552979,20,18,15
BZID-1304541046,9,5,4
BZID-1304403235,18,14,4
BZID-1304545355,5,5,0
BZID-1304449992,8,3,1
BZID-1304478612,23,18,13
BZID-1304604011,3,3,1
BZID-1304577892,21,19,6
BZID-1304505046,3,1,1
BZID-1304356467,3,3,3
BZID-1304456595,4,1,1
BZID-1304596594,3,2,1
BZID-1304510048,1,1,0
BZID-1304437054,4,3,1
BZID-1304385456,17,15,4
BZID-1304414124,12,12,9
BZID-1304505720,3,3,0
BZID-1304505636,4,3,3
BZID-1304505634,1,1,1
BZID-1304505821,2,2,0
BZID-1304371038,34,31,9
BZID-1304385851,10,7,5
BZID-1304437811,22,21,4
BZID-1304607709,1,1,0
BZID-1304361342,8,9,6
BZID-1304576596,16,15,4
BZID-1304505756,3,3,2
BZID-1304560470,5,4,3
BZID-1304361312,15,14,7
BZID-1304505638,5,5,1
BZID-1304505767,3,3,2
BZID-1304505414,1,1,1
BZID-1304461083,10,9,7
BZID-1304361246,11,9,6
BZID-1304416319,16,11,7
BZID-1304417577,10,9,4
BZID-1304366996,15,11,4
BZID-1304408456,17,16,3
BZID-1304386763,3,3,1
BZID-1304508213,2,2,1
BZID-1304433473,20,5,4
BZID-1304352154,6,7,4
BZID-1304451329,13,12,9
BZID-1304396939,10,8,7
BZID-1304379621,15,11,5
BZID-1304369302,11,10,6
BZID-1304607767,26,16,5
BZID-1304379128,15,15,1
BZID-1304599406,3,2,2
BZID-1304428163,14,9,6
BZID-1304462508,17,14,6
BZID-1304403742,13,12,6
BZID-1304600736,4,3,1
BZID-1304419950,10,10,4
BZID-1304428696,16,10,5
BZID-1304609924,27,19,16
BZID-1304420663,10,5,4
BZID-1304434356,6,6,3
BZID-1304605785,9,8,2
BZID-1304463054,7,4,0
BZID-1304372587,11,10,7
BZID-1304365303,13,9,5
BZID-1304589249,4,3,1
BZID-1304589282,7,6,2
BZID-1304379764,15,12,3
BZID-1304611101,2,1,1
BZID-1304462637,29,28,15
BZID-1304416640,8,5,0
BZID-1304414831,4,2,0
BZID-1304607330,4,4,2
BZID-1304396626,17,14,0
BZID-1304607431,15,11,3
BZID-1304578443,5,4,4
BZID-1304592350,7,6,2
BZID-1304378763,3,2,0
BZID-1304427253,38,34,4
BZID-1304358711,33,31,10
BZID-1304425291,10,3,1
BZID-1304383541,14,10,0
BZID-1304359986,33,27,9
BZID-1304606040,1,1,0
BZID-1304376770,14,11,2
BZID-1304360727,11,9,0
BZID-1304375984,21,21,2
BZID-1304577799,9,7,1
BZID-1304409616,1,1,0
BZID-1304362711,8,8,1
BZID-1304407837,24,14,11
BZID-1304470777,16,9,8
BZID-1304370944,11,8,2
BZID-1304594965,27,15,5
BZID-1304397455,15,15,0
BZID-1304471651,19,16,12
BZID-1304574509,1,1,0
BZID-1304574853,23,22,6
BZID-1304574525,2,2,1
BZID-1304349434,2,2,2
BZID-1304574514,1,1,1
BZID-1304448083,18,16,7
BZID-1304351072,5,1,1
BZID-1304574645,6,5,2
BZID-1304381084,14,13,6
BZID-1304364788,28,20,12
BZID-1304379661,7,6,2
BZID-1304479571,6,4,2
BZID-1304374577,3,2,1
BZID-1304465381,28,24,7
BZID-1304412244,5,5,0
BZID-1304401757,1,2,0
BZID-1304353331,30,21,17
BZID-1304409170,13,10,1
BZID-1304431497,17,13,7
BZID-1304432992,5,4,0
BZID-1304610534,4,4,0
BZID-1304424676,26,20,3
BZID-1304402330,13,9,3
BZID-1304449462,15,4,0
BZID-1304574498,20,14,0
BZID-1304605009,19,3,1
BZID-1304577837,7,5,0
BZID-1304388478,16,15,6
BZID-1304577990,8,7,3
BZID-1304353969,10,9,1
BZID-1304425552,10,6,2
BZID-1304386790,13,10,7
BZID-1304415605,14,7,5
BZID-1304604118,9,5,3
BZID-1304357653,19,16,9
BZID-1304429591,15,14,8
BZID-1304465218,62,25,14
BZID-1304351633,3,3,1
BZID-1304359759,6,4,2
BZID-1304589136,6,3,1
BZID-1304440772,26,23,4
BZID-1304458958,5,4,0
BZID-1304600211,12,11,5
BZID-1304383153,8,8,1
BZID-1304420101,3,3,2
BZID-1304475809,15,11,4
BZID-1304431787,14,10,7
BZID-1304427619,19,14,0
BZID-1304426407,4,2,2
BZID-1304442894,14,12,7
BZID-1304361949,4,4,0
BZID-1304359656,7,4,1
BZID-1304405243,22,18,0
BZID-1304372279,2,2,0
BZID-1304408834,5,3,2
BZID-1304448894,33,29,14
BZID-1304404260,10,9,4
BZID-1304410752,3,3,1
BZID-1304351227,26,21,8
BZID-1304418370,10,5,4
BZID-1304363835,8,7,0
BZID-1304448156,3,2,0
BZID-1304577056,8,7,0
BZID-1304378291,6,4,1
BZID-1304388347,13,2,1
BZID-1304403291,14,19,16
BZID-1304609641,8,7,2
BZID-1304419797,1,1,0
BZID-1304578361,1,1,1
BZID-1304432735,4,3,1
BZID-1304407575,19,16,1
BZID-1304474789,21,15,5
BZID-1304603898,8,6,4
BZID-1304400982,5,3,2
BZID-1304406739,2,1,1
BZID-1304463291,18,9,8
BZID-1304578189,4,4,0
BZID-1304464235,9,7,2
BZID-1304576987,5,5,3
BZID-1304411155,59,54,36
BZID-1304351812,11,5,2
BZID-1304464221,57,49,30
BZID-1304388568,14,7,2
BZID-1304428728,62,59,58
BZID-1304457750,25,25,11
BZID-1304411411,57,54,29
BZID-1304382453,55,45,35
BZID-1304358267,61,61,31
BZID-1304415990,54,36,30
BZID-1304475648,61,55,43
BZID-1304578540,52,48,38
BZID-1304362741,62,48,41
BZID-1304595835,58,51,44
BZID-1304419103,61,55,43
BZID-1304410501,3,3,0
BZID-1304357892,48,47,23
BZID-1304398190,18,9,7
BZID-1304402997,44,31,25
BZID-1304444048,38,31,20
BZID-1304577688,11,10,5
BZID-1304449029,49,45,12
BZID-1304598689,57,53,31
BZID-1304437828,58,40,20
BZID-1304472053,56,53,33
BZID-1304431517,56,54,40
BZID-1304609034,22,16,7
BZID-1304391545,1,1,0
BZID-1304463494,50,27,21
BZID-1304427147,40,24,21
BZID-1304408102,60,57,24
BZID-1304470992,17,15,0
BZID-1304590566,36,34,6
BZID-1304371595,55,50,20
BZID-1304410726,51,50,13
BZID-1304426494,63,63,58
BZID-1304461741,61,55,21
BZID-1304415105,61,53,36
BZID-1304419824,32,27,19
BZID-1304431066,49,45,33
BZID-1304395827,41,27,9
BZID-1304463694,59,46,30
BZID-1304465383,44,28,23
BZID-1304417315,26,23,15
BZID-1304354822,61,60,41
BZID-1304471487,60,58,24
BZID-1304606727,52,46,26
BZID-1304397782,63,61,37
BZID-1304596924,34,27,21
BZID-1304351109,28,23,11
BZID-1304421541,31,19,12
BZID-1304460992,45,33,19
BZID-1304430049,18,15,2
BZID-1304405395,25,20,14
BZID-1304425877,63,58,52
BZID-1304421791,37,27,16
BZID-1304477703,63,56,44
BZID-1304371293,51,42,38
BZID-1304372676,54,51,23
BZID-1304389535,45,40,28
BZID-1304414710,63,60,56
BZID-1304360845,51,43,32
BZID-1304463558,32,31,5
BZID-1304400798,51,45,26
BZID-1304451334,49,37,8
BZID-1304610157,50,41,29
BZID-1304435689,17,17,13
BZID-1304441263,14,6,5
BZID-1304454426,20,10,2
BZID-1304444017,58,44,35
BZID-1304359226,59,58,19
BZID-1304391670,16,16,0
BZID-1304451491,23,21,8
BZID-1304387998,47,43,31
BZID-1304467199,54,49,38
BZID-1304594850,43,32,17
BZID-1304373305,62,45,29
BZID-1304398664,6,3,3
BZID-1304421769,55,48,24
BZID-1304415775,28,19,12
BZID-1304465716,62,59,31
BZID-1304353462,22,20,16
BZID-1304605175,35,27,19
BZID-1304472173,44,35,15
BZID-1304477355,63,57,55
BZID-1304371683,11,9,3
BZID-1304457214,25,10,6
BZID-1304364289,21,19,11
BZID-1304607504,43,41,22
BZID-1304355459,19,18,3
BZID-1304595162,10,5,4
BZID-1304604108,19,18,7
BZID-1304377623,34,24,5
BZID-1304404097,15,13,4
BZID-1304354978,62,56,29
BZID-1304463263,45,35,27
BZID-1304358659,27,26,2
BZID-1304387772,8,8,6
BZID-1304408552,15,11,7
BZID-1304393120,29,20,16
BZID-1304385265,63,45,27
BZID-1304464992,37,33,25
BZID-1304469917,61,52,36
BZID-1304461894,8,7,4
BZID-1304365871,24,20,10
BZID-1304474618,55,42,34
BZID-1304413995,55,47,32
BZID-1304463097,58,53,44
BZID-1304404180,58,42,35
BZID-1304406590,4,2,0
BZID-1304403559,57,38,28
BZID-1304598197,53,52,9
BZID-1304384192,17,17,7
BZID-1304430167,34,28,21
BZID-1304595890,60,56,16
BZID-1304422370,25,18,6
BZID-1304574691,48,47,32
BZID-1304402501,53,46,45
BZID-1304427250,62,58,24
BZID-1304598667,16,13,12
BZID-1304451117,45,34,27
BZID-1304364670,62,58,5
BZID-1304418536,34,30,23
BZID-1304607250,17,11,0
BZID-1304473647,63,62,59
BZID-1304382205,38,33,12
BZID-1304469803,53,43,27
BZID-1304563431,34,30,10
BZID-1304393820,63,54,31
BZID-1304562882,3,2,0
BZID-1304373656,57,55,43
BZID-1304578533,41,39,18
BZID-1304449036,10,10,3
BZID-1304387497,20,16,11
BZID-1304448361,51,44,22
BZID-1304356484,19,14,4
BZID-1304382861,47,47,0
BZID-1304386469,38,35,12
BZID-1304397439,61,58,47
BZID-1304577062,10,9,0
BZID-1304429953,61,56,41
BZID-1304456513,45,39,16
BZID-1304597547,52,49,17
BZID-1304474893,57,56,39
BZID-1304390100,53,37,24
BZID-1304422194,25,22,9
BZID-1304473831,36,36,21
BZID-1304400194,48,47,36
BZID-1304367398,19,10,4
BZID-1304399512,63,63,28
BZID-1304354979,13,11,6
BZID-1304398813,41,35,28
BZID-1304409313,8,5,3
BZID-1304351614,51,43,24
BZID-1304420012,24,23,6
BZID-1304425362,59,59,47
BZID-1304403497,43,42,15
BZID-1304608394,24,18,11
BZID-1304361012,61,56,33
BZID-1304422887,16,11,8
BZID-1304576994,2,2,1
BZID-1304360383,1,1,1
BZID-1304603525,6,5,3
BZID-1304479809,3,2,2
BZID-1304466108,11,6,1
BZID-1304385095,6,6,1
BZID-1304461490,12,7,0
BZID-1304557463,9,6,4
BZID-1304574687,11,11,6
BZID-1304435749,2,2,2
BZID-1304398552,18,14,7
BZID-1304350647,2,2,0
BZID-1304371519,6,2,2
BZID-1304409183,22,17,11
BZID-1304415152,7,5,2
BZID-1304406766,12,11,10
BZID-1304577472,7,5,1
BZID-1304595193,8,5,3
BZID-1304403695,3,3,0
BZID-1304387247,5,1,2
BZID-1304414874,4,4,1
BZID-1304385989,10,9,0
BZID-1304379081,5,1,0
BZID-1304423507,13,10,3
BZID-1304373210,4,2,1
BZID-1304357781,15,7,6
BZID-1304350964,19,11,3
BZID-1304408462,2,0,0
BZID-1304476952,9,8,3
BZID-1304604960,21,18,0
BZID-1304392050,6,6,0
BZID-1304358964,1,2,0
BZID-1304435796,27,24,9
BZID-1304423907,8,7,3
BZID-1304598696,25,25,11
BZID-1304394596,4,3,2
BZID-1304383110,13,5,2
BZID-1304556754,10,5,1
BZID-1304427650,11,9,7
BZID-1304349816,10,7,4
BZID-1304600409,36,33,18
BZID-1304603875,11,10,0
BZID-1304403435,1,1,1
BZID-1304405983,24,19,7
BZID-1304430276,9,6,2
BZID-1304377444,6,4,0
BZID-1304389996,9,6,3
BZID-1304603479,9,6,3
BZID-1304471533,14,7,5
BZID-1304400590,3,0,0
BZID-1304425913,1,1,0
BZID-1304608690,9,8,3
BZID-1304609813,12,9,0
BZID-1304428215,6,5,1
BZID-1304370304,20,5,0
BZID-1304415724,4,3,2
BZID-1304457098,11,9,0
BZID-1304385689,7,7,2
BZID-1304410235,1,0,0
BZID-1304432309,14,4,3
BZID-1304610976,11,2,0
BZID-1304428812,3,2,0
BZID-1304404338,5,4,0
BZID-1304410663,3,3,0
BZID-1304404269,2,2,0
BZID-1304402765,5,5,0
BZID-1304436594,33,32,7
BZID-1304407420,11,11,0
BZID-1304409133,25,14,6
BZID-1304355124,9,5,1
BZID-1304434312,7,3,3
BZID-1304474179,25,17,15
BZID-1304361202,3,2,0
BZID-1304607681,3,1,1
BZID-1304417737,12,5,0
BZID-1304368730,3,2,1
BZID-1304391957,4,4,2
BZID-1304415689,8,8,1
BZID-1304390626,6,6,5
BZID-1304575157,2,2,1
BZID-1304385599,3,4,0
BZID-1304367746,12,10,0
BZID-1304597189,10,9,1
BZID-1304578497,6,3,1
BZID-1304413614,2,0,0
BZID-1304421979,9,6,4
BZID-1304412327,20,18,5
BZID-1304462869,4,2,0
BZID-1304611179,3,3,0
BZID-1304577786,4,1,1
BZID-1304360343,6,6,0
BZID-1304367288,1,0,0
BZID-1304400992,17,12,6
BZID-1304479807,30,27,12
BZID-1304453311,0,1,0
BZID-1304419411,3,1,0
BZID-1304361405,8,6,2
BZID-1304463393,21,6,1
BZID-1304396965,2,0,0
BZID-1304420363,23,9,7
BZID-1304456959,15,13,0
BZID-1304408948,23,10,1
BZID-1304397182,4,2,1
BZID-1304417766,5,5,3
BZID-1304566560,12,8,1
BZID-1304402126,10,9,3
BZID-1304355691,22,18,8
BZID-1304370476,1,1,1
BZID-1304473676,8,8,5
BZID-1304600741,7,4,1
BZID-1304366940,3,0,0
BZID-1304569590,11,9,1
BZID-1304421155,4,3,2
BZID-1304569372,10,5,1
BZID-1304598869,2,1,0
BZID-1304569878,1,1,1
BZID-1304400414,12,4,0
BZID-1304570068,1,1,0
BZID-1304424959,2,2,2
BZID-1304568656,4,2,1
BZID-1304450409,15,6,3
BZID-1304470438,3,3,0
BZID-1304568346,11,10,4
BZID-1304470507,7,4,1
BZID-1304385273,5,5,2
BZID-1304603333,14,8,0
BZID-1304359935,14,13,3
BZID-1304570005,7,5,0
BZID-1304568858,6,4,1
BZID-1304577884,7,0,0
BZID-1304605354,8,5,4
BZID-1304460756,5,5,1
BZID-1304569633,11,7,4
BZID-1304596021,13,9,4
BZID-1304408414,5,5,1
BZID-1304569375,2,1,1
BZID-1304441474,10,7,5
BZID-1304372001,2,1,2
BZID-1304568645,5,4,2
BZID-1304394693,3,3,1
BZID-1304392235,11,10,3
BZID-1304471039,5,0,0
BZID-1304555474,7,6,3
BZID-1304606878,7,6,0
BZID-1304420007,10,5,4
BZID-1304358205,3,2,1
BZID-1304444563,6,3,0
BZID-1304456833,2,1,0
BZID-1304377824,1,1,0
BZID-1304388381,24,20,9
BZID-1304605992,5,5,2
BZID-1304356587,11,9,1
BZID-1304600638,4,2,2
BZID-1304410215,1,0,0
BZID-1304554150,1,1,0
BZID-1304430223,1,1,0
BZID-1304361611,13,11,11
BZID-1304410122,2,2,2
BZID-1304460335,15,12,1
BZID-1304394625,3,2,0
BZID-1304382781,3,1,0
BZID-1304366784,9,7,2
BZID-1304391495,0,1,1
BZID-1304416908,7,5,3
BZID-1304364460,10,10,2
BZID-1304397158,7,7,3
BZID-1304554826,13,9,3
BZID-1304357055,34,25,11
BZID-1304554606,3,2,0
BZID-1304473386,3,2,1
BZID-1304376044,5,4,0
BZID-1304352719,14,6,3
BZID-1304361846,14,10,6
BZID-1304557456,9,6,3
BZID-1304557165,6,6,2
BZID-1304450968,14,11,5
BZID-1304557190,3,3,1
BZID-1304557207,3,2,2
BZID-1304597153,9,9,3
BZID-1304478957,8,7,1
BZID-1304424741,1,1,1
BZID-1304423347,5,2,1
BZID-1304363515,14,10,3
BZID-1304393642,3,0,0
BZID-1304457240,9,7,3
BZID-1304609322,9,2,1
BZID-1304557944,5,3,1
BZID-1304603701,3,3,0
BZID-1304383985,16,14,5
BZID-1304428659,10,6,5
BZID-1304349260,13,2,1
BZID-1304456868,19,14,8
BZID-1304556398,5,5,1
BZID-1304607102,12,10,4
BZID-1304445423,11,7,0
BZID-1304361380,15,14,0
BZID-1304408679,1,1,1
BZID-1304371943,2,1,1
BZID-1304432592,7,3,4
BZID-1304377189,3,2,0
BZID-1304401656,1,1,1
BZID-1304567332,4,2,0
BZID-1304367951,16,15,3
BZID-1304551511,4,2,1
BZID-1304394172,17,13,5
BZID-1304551431,5,3,2
BZID-1304551470,15,12,5
BZID-1304609699,14,9,2
BZID-1304597978,16,16,6
BZID-1304550230,2,1,0
BZID-1304460656,13,13,0
BZID-1304550158,3,3,2
BZID-1304387495,11,11,8
BZID-1304355794,7,3,2
BZID-1304397458,11,6,6
BZID-1304455854,19,13,3
BZID-1304350467,8,7,3
BZID-1304447878,3,1,2
BZID-1304362715,2,2,1
BZID-1304408107,4,2,1
BZID-1304550055,1,1,1
BZID-1304553034,11,11,4
BZID-1304550848,1,2,1
BZID-1304430933,3,1,0
BZID-1304385972,12,12,1
BZID-1304438190,8,5,0
BZID-1304422302,4,4,3
BZID-1304402443,6,5,0
BZID-1304558106,13,5,3
BZID-1304438480,2,2,2
BZID-1304461837,10,10,4
BZID-1304549864,2,2,1
BZID-1304411289,11,8,0
BZID-1304553923,8,5,3
BZID-1304354749,4,2,1
BZID-1304553791,1,1,1
BZID-1304547909,8,8,4
BZID-1304423904,4,3,1
BZID-1304449271,3,4,1
BZID-1304553553,15,12,8
BZID-1304433643,1,1,0
BZID-1304378057,3,3,0
BZID-1304437216,3,2,0
BZID-1304552775,2,2,1
BZID-1304426684,4,4,1
BZID-1304378179,13,12,1
BZID-1304369865,5,3,0
BZID-1304438444,12,8,2
BZID-1304436102,13,5,3
BZID-1304599010,4,1,2
BZID-1304598738,32,29,2
BZID-1304386906,1,2,2
BZID-1304399557,1,1,1
BZID-1304551941,16,14,4
BZID-1304551940,8,6,2
BZID-1304373637,1,1,1
BZID-1304551953,3,3,2
BZID-1304551995,3,1,0
BZID-1304388385,6,6,2
BZID-1304426733,11,7,1
BZID-1304552077,1,1,0
BZID-1304411900,6,6,1
BZID-1304352203,6,5,0
BZID-1304409110,1,1,0
BZID-1304374646,1,1,1
BZID-1304408351,5,5,5
BZID-1304356771,8,3,1
BZID-1304377263,3,3,1
BZID-1304416227,1,1,1
BZID-1304410913,4,4,2
BZID-1304438842,4,3,0
BZID-1304538810,3,2,0
BZID-1304401453,6,4,4
BZID-1304459952,5,5,1
BZID-1304426047,3,3,1
BZID-1304402267,5,4,0
BZID-1304393999,14,13,11
BZID-1304552810,4,4,2
BZID-1304550675,9,8,3
BZID-1304382410,3,2,2
BZID-1304574718,19,13,5
BZID-1304552092,6,5,0
BZID-1304385338,9,7,4
BZID-1304404232,3,2,0
BZID-1304543190,5,4,2
BZID-1304476072,11,2,2
BZID-1304408847,5,3,0
BZID-1304555333,3,2,0
BZID-1304476417,4,4,2
BZID-1304560615,19,16,9
BZID-1304414154,2,1,1
BZID-1304538228,3,3,1
BZID-1304411797,5,3,1
BZID-1304608239,5,5,0
BZID-1304420869,10,1,2
BZID-1304362579,6,4,1
BZID-1304590477,12,5,2
BZID-1304373228,1,0,0
BZID-1304597764,8,6,2
BZID-1304508139,1,1,1
BZID-1304508039,2,2,1
BZID-1304390494,1,1,1
BZID-1304368622,1,1,1
BZID-1304508061,2,2,2
BZID-1304467747,2,1,0
BZID-1304389985,1,1,1
BZID-1304428279,13,2,1
BZID-1304424218,9,8,4
BZID-1304419357,2,2,2
BZID-1304508034,2,2,1
BZID-1304402237,4,2,1
BZID-1304552047,3,3,1
BZID-1304421248,4,4,1
BZID-1304508821,2,1,1
BZID-1304508886,9,6,2
BZID-1304368376,5,4,0
BZID-1304508433,2,2,2
BZID-1304505743,3,3,1
BZID-1304563245,8,1,0
BZID-1304508801,1,1,1
BZID-1304595635,8,5,4
BZID-1304424658,1,1,0
BZID-1304402398,3,2,2
BZID-1304507320,1,1,1
BZID-1304438687,1,1,1
BZID-1304506981,1,1,1
BZID-1304506974,1,1,1
BZID-1304409320,13,7,3
BZID-1304505021,3,3,1
BZID-1304609356,9,7,2
BZID-1304413654,5,3,2
BZID-1304418482,6,1,0
BZID-1304375277,0,1,1
BZID-1304358088,6,4,2
BZID-1304380820,1,1,0
BZID-1304463661,1,1,1
BZID-1304402900,8,6,1
BZID-1304389252,4,1,0
BZID-1304418609,6,5,2
BZID-1304404952,8,8,1
BZID-1304405038,6,6,0
BZID-1304600391,1,1,0
BZID-1304385947,1,1,0
BZID-1304600406,1,1,0
BZID-1304383385,3,2,1
BZID-1304359113,3,0,0
BZID-1304600361,6,5,2
BZID-1304384699,2,2,1
BZID-1304373660,7,5,4
BZID-1304449059,7,6,3
BZID-1304364959,2,2,1
BZID-1304596428,1,1,0
BZID-1304595898,5,3,1
BZID-1304605184,3,1,1
BZID-1304597543,3,2,0
BZID-1304441238,3,2,1
BZID-1304389291,9,6,2
BZID-1304447620,6,1,0
BZID-1304373945,0,1,1
BZID-1304600398,2,1,1
BZID-1304397116,1,1,1
BZID-1304414933,3,2,2
BZID-1304607219,4,2,2
BZID-1304370416,1,0,0
BZID-1304465908,20,7,4
BZID-1304608146,2,1,0
BZID-1304368638,21,17,0
BZID-1304405560,14,12,3
BZID-1304436487,14,12,3
BZID-1304391838,4,4,1
BZID-1304356165,6,4,1
BZID-1304596355,2,2,0
BZID-1304398627,1,0,0
BZID-1304363105,2,1,0
BZID-1304596630,5,2,2
BZID-1304405924,7,6,2
BZID-1304368690,9,7,5
BZID-1304431038,1,1,1
BZID-1304350235,4,1,1
BZID-1304590633,3,3,0
BZID-1304426263,5,4,2
BZID-1304375468,7,3,1
BZID-1304377762,7,1,1
